Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2000,2,1,11.5,—,—,—,25.3,27.6,23.6,8.9,39.6
Changi,2000,2,2,0.3,—,—,—,25.9,29.4,23.9,7.3,37.8
Changi,2000,2,3,1.3,—,—,—,26,30,23.9,6,31.3
Changi,2000,2,4,0,—,—,—,26.9,31.5,23.2,5.6,25.9
Changi,2000,2,5,0,—,—,—,26.5,30.7,23.4,4.7,28.8
Changi,2000,2,6,2,—,—,—,26.9,31.4,24.3,7.6,25.9
Changi,2000,2,7,13,—,—,—,26.9,31.5,24.2,4,20.9
Changi,2000,2,8,0,—,—,—,26.7,30,25,4.3,25.2
Changi,2000,2,9,0.3,—,—,—,26.7,30.9,24.6,9.7,27.7
Changi,2000,2,10,5.9,—,—,—,26,29.9,24.2,5.9,23.4
Changi,2000,2,11,0,—,—,—,26.8,31,24.2,7.4,31
Changi,2000,2,12,0,—,—,—,26.7,30.2,23.3,7.2,24.8
Changi,2000,2,13,34,—,—,—,26.6,31.6,23.3,4.5,27.7
Changi,2000,2,14,0,—,—,—,27.2,32,24.4,6,25.9
Changi,2000,2,15,0,—,—,—,27.7,31.5,25.2,9.7,36
Changi,2000,2,16,0,—,—,—,27.9,32,25.4,9.2,32.4
Changi,2000,2,17,0,—,—,—,27.5,31.8,25,9.8,24.5
Changi,2000,2,18,19.5,—,—,—,26.9,32.1,22.9,6.7,40.3
Changi,2000,2,19,13.8,—,—,—,26.2,31.1,23.2,7.3,45
Changi,2000,2,20,39.9,—,—,—,26.2,31.6,23,3.6,25.2
Changi,2000,2,21,23.9,—,—,—,25.8,31.8,21.7,3.4,39.6
Changi,2000,2,22,7.4,—,—,—,26,30.9,23,3.7,33.8
Changi,2000,2,23,2.3,—,—,—,26.2,31.4,23.8,2.8,19.1
Changi,2000,2,24,25,—,—,—,25.7,31,23.4,3.5,30.6
Changi,2000,2,25,9.2,—,—,—,25.2,30,23.1,1.6,36
Changi,2000,2,26,0,—,—,—,27,31.7,23,6.2,33.1
Changi,2000,2,27,23.8,—,—,—,26.6,30.8,24,5.8,30.6
Changi,2000,2,28,4.7,—,—,—,27,32,24,4.2,27
Changi,2000,2,29,0,—,—,—,27.7,32.4,24.3,4.6,20.2
