Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2009,8,1,0,—,—,—,28.8,31.6,26.3,8.3,29.5
Changi,2009,8,2,0,—,—,—,29,32,26.3,8.6,33.1
Changi,2009,8,3,0,—,—,—,29.2,32.4,26.4,8.8,30.6
Changi,2009,8,4,0,—,—,—,29.1,32,26.6,7.7,30.2
Changi,2009,8,5,0.1,—,—,—,28.7,30.9,26.9,6.4,30.2
Changi,2009,8,6,0,—,—,—,29.3,33.5,25.8,7.8,28.8
Changi,2009,8,7,8.6,—,—,—,28.9,32.3,27.2,5.6,34.6
Changi,2009,8,8,0,—,—,—,29,32.1,26.6,7,35.3
Changi,2009,8,9,24.3,—,—,—,29.1,32.3,27.3,7.3,28.1
Changi,2009,8,10,1,—,—,—,26.6,30.4,22.6,7.9,42.5
Changi,2009,8,11,0,—,—,—,28.6,32.3,25.7,5.2,22.3
Changi,2009,8,12,0,—,—,—,29.4,33,27.1,6.7,28.1
Changi,2009,8,13,0,—,—,—,29.5,33,27,5.9,26.6
Changi,2009,8,14,0,—,—,—,29.1,32.4,27.5,5.1,32.4
Changi,2009,8,15,7,—,—,—,27.5,31.9,25.1,4.6,26.6
Changi,2009,8,16,0.7,—,—,—,28.2,32.1,25.6,3.3,18
Changi,2009,8,17,0,—,—,—,28.4,31.9,26,4.7,38.5
Changi,2009,8,18,0,—,—,—,28.9,32.3,25.9,4.8,23.8
Changi,2009,8,19,0,—,—,—,29.1,32.5,26.8,5.4,29.9
Changi,2009,8,20,0,—,—,—,28.4,32,26.2,5.3,25.6
Changi,2009,8,21,0.1,—,—,—,27.7,31,25.2,4.6,26.3
Changi,2009,8,22,35.5,—,—,—,29.3,33.1,25.5,5.1,23
Changi,2009,8,23,15.5,—,—,—,25.9,29.2,23,7.9,43.6
Changi,2009,8,24,4.5,—,—,—,27.2,30.5,24.2,10.8,36.7
Changi,2009,8,25,0.1,—,—,—,28.2,32,24,12.9,41
Changi,2009,8,26,32.8,—,—,—,27.3,30.9,24.4,6.7,35.6
Changi,2009,8,27,17,—,—,—,26.9,29.5,23.6,12.6,35.6
Changi,2009,8,28,1,—,—,—,27,29.7,23.7,13.9,51.1
Changi,2009,8,29,0,—,—,—,29.1,32.7,25.8,8.6,31.7
Changi,2009,8,30,29.6,—,—,—,26.3,29.8,22.9,6.9,43.2
Changi,2009,8,31,0,—,—,—,28.4,32.1,25,4.8,23
