Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2004,6,1,17,—,—,—,27.5,33.7,23.6,5.4,46.8
Changi,2004,6,2,0,—,—,—,27.6,32.3,24.4,3.4,21.6
Changi,2004,6,3,1,—,—,—,28.2,31.4,25.4,3.4,24.1
Changi,2004,6,4,21.8,—,—,—,28.2,31.4,26.7,4.7,29.5
Changi,2004,6,5,0,—,—,—,27.5,30.2,23.5,2.9,39.6
Changi,2004,6,6,13.1,—,—,—,29,32.3,26.2,7.5,34.2
Changi,2004,6,7,0.1,—,—,—,28.5,32,24.4,5.8,28.8
Changi,2004,6,8,0,—,—,—,29.4,32.4,26.3,6.2,25.2
Changi,2004,6,9,68.1,—,—,—,26.3,29,22.5,3.1,42.5
Changi,2004,6,10,0,—,—,—,28.3,32.1,25,3.6,16.9
Changi,2004,6,11,0,—,—,—,29.6,33.5,26.5,7.5,23.4
Changi,2004,6,12,0,—,—,—,30,33.2,27.6,11.3,23.8
Changi,2004,6,13,0,—,—,—,30.3,33.4,28,12.9,25.6
Changi,2004,6,14,0,—,—,—,30.2,33.1,28,13.4,31.7
Changi,2004,6,15,0,—,—,—,29.9,33,27.7,14.8,27.7
Changi,2004,6,16,0,—,—,—,30.1,33.2,27.6,14.3,33.1
Changi,2004,6,17,0,—,—,—,30,33.5,27,12,32.8
Changi,2004,6,18,0,—,—,—,29,33.4,24.7,8.2,23.8
Changi,2004,6,19,0,—,—,—,29.5,33,26.2,11.2,28.8
Changi,2004,6,20,0,—,—,—,30,33.6,27.6,12.1,27.7
Changi,2004,6,21,0,—,—,—,30,33.2,27.1,12.2,27.4
Changi,2004,6,22,0,—,—,—,29.3,32.5,27.2,6.6,24.8
Changi,2004,6,23,0,—,—,—,28.8,31.5,27.2,9.7,26.3
Changi,2004,6,24,0,—,—,—,29.5,31.5,27.3,12.2,28.4
Changi,2004,6,25,0,—,—,—,29.7,32.6,27.3,11.5,28.1
Changi,2004,6,26,2,—,—,—,28.2,30.9,25.9,7.1,27.7
Changi,2004,6,27,0,—,—,—,28.6,32.4,25.1,8.6,28.8
Changi,2004,6,28,0,—,—,—,29.8,33.4,27,10.1,28.8
Changi,2004,6,29,2.3,—,—,—,29,32.4,26.6,8.2,30.6
Changi,2004,6,30,1.8,—,—,—,28,32.4,25.2,7.1,36
