Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1984,2,1,154.4,—,—,—,25.6,29.2,23.1,14.8,48.6
Changi,1984,2,2,17.1,—,—,—,22.9,24.9,21.1,6.9,46.4
Changi,1984,2,3,1.5,—,—,—,25.1,30.4,22.2,6.3,41
Changi,1984,2,4,5.2,—,—,—,25.4,29.2,23.6,6.2,35.6
Changi,1984,2,5,0.5,—,—,—,25.3,28.1,23.5,9.3,42.1
Changi,1984,2,6,1.4,—,—,—,26,30.7,23.1,11.3,43.2
Changi,1984,2,7,92.7,—,—,—,25.2,28.7,23.1,7.2,36
Changi,1984,2,8,56.5,—,—,—,24.7,27.7,23.5,9.1,35.6
Changi,1984,2,9,0.2,—,—,—,25.5,29.2,23.2,8,35.3
Changi,1984,2,10,4,—,—,—,25.6,30,23.1,5.5,29.5
Changi,1984,2,11,0,—,—,—,26.7,31,24.2,11.3,30.6
Changi,1984,2,12,0,—,—,—,26.9,30.9,24.5,12.3,37.4
Changi,1984,2,13,0,—,—,—,26.5,30.2,24.4,11.9,36
Changi,1984,2,14,0,—,—,—,26.4,31.3,24.1,9.6,44.6
Changi,1984,2,15,0,—,—,—,26.1,29.3,23.2,5.8,30.2
Changi,1984,2,16,60.6,—,—,—,25,30.8,23.1,5.4,39.6
Changi,1984,2,17,30.7,—,—,—,25.3,30.2,23.1,5.1,28.1
Changi,1984,2,18,21.5,—,—,—,25.4,30.8,22.1,4.1,41
Changi,1984,2,19,1,—,—,—,25.2,29.7,23.2,5.7,43.2
Changi,1984,2,20,0,—,—,—,25.3,29.2,23.1,4.2,33.1
Changi,1984,2,21,3.3,—,—,—,26.2,30.8,23.6,7.7,30.2
Changi,1984,2,22,2.7,—,—,—,26.1,30.6,23.7,8.4,39.6
Changi,1984,2,23,0,—,—,—,26.4,31.2,23.2,7.2,35.6
Changi,1984,2,24,0,—,—,—,26.6,30.6,23.2,8.3,30.6
Changi,1984,2,25,6.8,—,—,—,26.5,31.5,23.5,7.8,42.8
Changi,1984,2,26,5.3,—,—,—,26.8,31.3,24.3,9.9,39.2
Changi,1984,2,27,0,—,—,—,26.8,30.8,24.2,11.4,31.3
Changi,1984,2,28,0,—,—,—,26.9,31.1,24,14.6,49
Changi,1984,2,29,5,—,—,—,26.5,30.2,24,11,40.7
