Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1995,8,1,0,—,—,—,27.9,30.8,25.5,6.1,32
Changi,1995,8,2,7.3,—,—,—,26.2,29.7,23.4,4.2,35.3
Changi,1995,8,3,4.1,—,—,—,27.1,31,23.6,5.1,27.4
Changi,1995,8,4,14.2,—,—,—,26.8,30.9,24.1,5.6,37.8
Changi,1995,8,5,0,—,—,—,27.6,31,24.3,6.7,29.5
Changi,1995,8,6,37.9,—,—,—,27.5,31.6,24.1,8.6,35.6
Changi,1995,8,7,7.4,—,—,—,26,28.9,24.1,5.3,32.8
Changi,1995,8,8,12.4,—,—,—,25.6,28.3,23.3,3.4,29.2
Changi,1995,8,9,2.5,—,—,—,26.8,30.7,22.8,3.4,17.3
Changi,1995,8,10,0.6,—,—,—,26.8,30.5,24.8,5.6,35.6
Changi,1995,8,11,1,—,—,—,26.6,29.7,24.5,5.6,45
Changi,1995,8,12,18.3,—,—,—,26.9,30.3,23.8,4.1,30.6
Changi,1995,8,13,8.2,—,—,—,26.9,29.7,24.4,8.1,37.8
Changi,1995,8,14,0.6,—,—,—,27.3,31,24.9,9.5,38.2
Changi,1995,8,15,22,—,—,—,26.3,30.2,23.9,7.2,29.9
Changi,1995,8,16,1.9,—,—,—,26.2,30.6,24.2,6.2,31.3
Changi,1995,8,17,4.3,—,—,—,27.6,30.9,24.7,5.8,34.9
Changi,1995,8,18,0,—,—,—,28.1,32.4,25,5.7,28.4
Changi,1995,8,19,20.5,—,—,—,27,30,24.3,6.6,33.8
Changi,1995,8,20,1,—,—,—,26.6,28.3,25,6.5,35.3
Changi,1995,8,21,0,—,—,—,28.4,31.1,26.2,11,34.2
Changi,1995,8,22,21,—,—,—,27.3,29.5,23.6,11,42.8
Changi,1995,8,23,0,—,—,—,28.6,31.5,25.6,13.9,41.4
Changi,1995,8,24,0,—,—,—,28.8,32.1,26.8,13,40.7
Changi,1995,8,25,17.1,—,—,—,27.5,30.3,24.6,8.1,40
Changi,1995,8,26,0.5,—,—,—,27.8,30.6,24.1,13.3,46.8
Changi,1995,8,27,0,—,—,—,28.1,31,25.4,11.8,43.2
Changi,1995,8,28,0,—,—,—,28.8,32,26.4,13,33.5
Changi,1995,8,29,0,—,—,—,28.8,32,26,10.4,32.4
Changi,1995,8,30,0,—,—,—,28.8,31.7,26.1,11.6,33.1
Changi,1995,8,31,8.8,—,—,—,28.1,31.5,23.8,9.2,54.7
