Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2000,9,1,0,—,—,—,29.3,33.2,25.7,9.8,28.8
Changi,2000,9,2,0,—,—,—,29.5,33,27.1,10.9,28.8
Changi,2000,9,3,0,—,—,—,29.4,33.2,26,8.1,29.2
Changi,2000,9,4,3.2,—,—,—,27.1,30.3,24.7,6.4,39.6
Changi,2000,9,5,0,—,—,—,28.8,33.1,25.1,6.9,21.2
Changi,2000,9,6,0,—,—,—,29.1,33.1,25.9,9,31
Changi,2000,9,7,0,—,—,—,28.5,33.2,25.2,6.5,34.6
Changi,2000,9,8,0,—,—,—,27.9,31.7,26.2,7.6,34.9
Changi,2000,9,9,10,—,—,—,27,31.8,24.1,7,43.9
Changi,2000,9,10,0.9,—,—,—,27.7,31.6,25,4.7,35.3
Changi,2000,9,11,0,—,—,—,28.6,32.9,25.3,7.8,26.6
Changi,2000,9,12,0,—,—,—,28.9,33.3,25.6,11.5,39.6
Changi,2000,9,13,0,—,—,—,28.6,31.7,26.5,11.1,29.9
Changi,2000,9,14,0,—,—,—,28.3,31.9,25.4,7.7,25.9
Changi,2000,9,15,0,—,—,—,29.3,34.3,26.1,10.5,36.4
Changi,2000,9,16,0,—,—,—,29.1,33.2,26.1,10.9,35.6
Changi,2000,9,17,8.9,—,—,—,28.2,32.5,26,8.9,42.5
Changi,2000,9,18,1.2,—,—,—,26.3,30.5,24.4,2.7,22.7
Changi,2000,9,19,25.7,—,—,—,26.1,30,24.3,4,46.8
Changi,2000,9,20,18.5,—,—,—,27.2,32,23.5,3.8,37.8
Changi,2000,9,21,5.9,—,—,—,27.3,31,25,2.5,27
Changi,2000,9,22,0.6,—,—,—,28,31.6,25.2,2.8,27.7
Changi,2000,9,23,0,—,—,—,27,31.6,24,6.7,49.3
Changi,2000,9,24,0,—,—,—,28,31.6,25.1,7.5,26.3
Changi,2000,9,25,0,—,—,—,27.7,32,25.4,5.3,39.2
Changi,2000,9,26,0,—,—,—,27.8,32.5,25.3,6,31
Changi,2000,9,27,0,—,—,—,28.2,32.1,24.8,10.3,42.1
Changi,2000,9,28,5.2,—,—,—,27.8,33.2,24.5,5.7,41.8
Changi,2000,9,29,0.3,—,—,—,27.7,31.6,23.8,6,34.9
Changi,2000,9,30,0.7,—,—,—,27.4,30.9,25.2,3.3,23.8
