Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1998,6,1,3.4,—,—,—,29.2,32.8,26,8.1,36
Changi,1998,6,2,0,—,—,—,29,32.7,26.2,3.5,44.6
Changi,1998,6,3,0.3,—,—,—,30,33.7,26.9,5.6,32.4
Changi,1998,6,4,0,—,—,—,29.5,34.2,27.1,3.8,30.2
Changi,1998,6,5,0,—,—,—,29.5,32.5,27.4,3.5,47.2
Changi,1998,6,6,2.7,—,—,—,28,32.8,25.3,2.8,35.6
Changi,1998,6,7,20.3,—,—,—,26.7,31,23.5,1.8,34.9
Changi,1998,6,8,0,—,—,—,27.9,32,23.5,1.7,23.4
Changi,1998,6,9,21.5,—,—,—,29,32.6,26.2,4.6,34.6
Changi,1998,6,10,0,—,—,—,27.7,32.4,22.9,4.4,46.1
Changi,1998,6,11,0,—,—,—,30.1,34.7,26.5,3.1,23.4
Changi,1998,6,12,0,—,—,—,29.2,33.6,26.5,2.1,32.8
Changi,1998,6,13,0,—,—,—,29.5,33.6,26.6,3.8,26.6
Changi,1998,6,14,27.2,—,—,—,28.3,33.1,25.7,1.9,31.3
Changi,1998,6,15,42.8,—,—,—,26.2,31.6,23.6,2.5,38.5
Changi,1998,6,16,0,—,—,—,28.5,33.7,23.9,3.5,26.6
Changi,1998,6,17,28,—,—,—,28.8,32.6,24.2,3.4,35.3
Changi,1998,6,18,25.2,—,—,—,27.1,29.9,24,2.4,41.4
Changi,1998,6,19,5.2,—,—,—,28.5,32.3,25,1.6,29.2
Changi,1998,6,20,0.7,—,—,—,28.6,31.4,26.1,2.7,23
Changi,1998,6,21,15.9,—,—,—,26,27.9,24.1,4.7,41.4
Changi,1998,6,22,0,—,—,—,28.2,32,24.8,3.4,19.8
Changi,1998,6,23,0.1,—,—,—,29.5,33,26.5,3.8,23.8
Changi,1998,6,24,2,—,—,—,28.8,32.6,25.6,4.6,24.8
Changi,1998,6,25,3,—,—,—,28.1,30.5,23.3,3.9,50.8
Changi,1998,6,26,0.5,—,—,—,28.4,31.7,24.9,8.6,59.4
Changi,1998,6,27,0,—,—,—,28.5,32.4,24.7,6.5,29.9
Changi,1998,6,28,0,—,—,—,29.5,33.2,26.8,8.3,28.8
Changi,1998,6,29,0,—,—,—,29.2,33.3,26,5.6,35.3
Changi,1998,6,30,0,—,—,—,30,33.1,27.4,10,30.6
