Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1986,7,1,0,—,—,—,27.1,29.6,23.9,5.2,38.9
Changi,1986,7,2,0,—,—,—,28.8,32.5,26.1,6.2,32.4
Changi,1986,7,3,13.6,—,—,—,28.4,31.8,26,7.4,50
Changi,1986,7,4,0,—,—,—,26.3,29.5,22.2,6.8,53.3
Changi,1986,7,5,0,—,—,—,28.2,31.7,25.4,9.7,30.2
Changi,1986,7,6,0,—,—,—,28.9,31.5,27,11.8,28.1
Changi,1986,7,7,0,—,—,—,29,32,27.4,10.8,34.2
Changi,1986,7,8,0,—,—,—,28.9,32.3,26.1,12.5,37.1
Changi,1986,7,9,0,—,—,—,28.4,32,25,10,39.6
Changi,1986,7,10,2.9,—,—,—,27.7,30.7,26,7.3,40
Changi,1986,7,11,0,—,—,—,27.4,31.3,23.8,9.7,46.4
Changi,1986,7,12,8.2,—,—,—,27.7,30.8,25.1,7.7,28.4
Changi,1986,7,13,5.4,—,—,—,27.9,32.1,22.9,5,55.1
Changi,1986,7,14,1.6,—,—,—,26.4,28.3,23,4.6,38.9
Changi,1986,7,15,0,—,—,—,27.5,30.4,25.3,10.1,31
Changi,1986,7,16,0,—,—,—,28.7,32.8,26.5,13,38.5
Changi,1986,7,17,0,—,—,—,28.8,32.4,26.1,13.9,39.6
Changi,1986,7,18,0,—,—,—,29.1,33.1,26.2,12.9,37.1
Changi,1986,7,19,0,—,—,—,29.4,32.9,26.7,14.8,35.6
Changi,1986,7,20,0,—,—,—,29.3,33.2,26.6,15.2,38.5
Changi,1986,7,21,0,—,—,—,29.4,32.3,27.4,14.1,38.2
Changi,1986,7,22,7.6,—,—,—,28.4,32.7,25.6,12,36.7
Changi,1986,7,23,0,—,—,—,27.7,31.6,25.6,7.1,29.9
Changi,1986,7,24,0,—,—,—,27.4,31.5,24.5,4.4,36
Changi,1986,7,25,23.5,—,—,—,27,30.9,25.2,6.2,48.2
Changi,1986,7,26,0,—,—,—,26.9,32,23.2,6.8,37.4
Changi,1986,7,27,11.7,—,—,—,25.6,30.5,23.2,2.7,49.3
Changi,1986,7,28,3.2,—,—,—,26.6,32.1,23.7,4.4,31.3
Changi,1986,7,29,12,—,—,—,27.1,30.9,24,7.7,41.4
Changi,1986,7,30,1.2,—,—,—,26.8,30.7,21.9,7,42.1
Changi,1986,7,31,18.8,—,—,—,26.9,31,22.9,5.4,38.2
