Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2002,8,1,0,—,—,—,29.3,32.3,27.4,12.1,31.7
Changi,2002,8,2,1.3,—,—,—,29,32.2,26.7,11.4,35.3
Changi,2002,8,3,0,—,—,—,28.3,32.2,24.5,8.1,34.2
Changi,2002,8,4,6,—,—,—,27.9,30.2,23.2,9.3,36
Changi,2002,8,5,0.5,—,—,—,28.7,31.1,27,11.7,28.8
Changi,2002,8,6,0,—,—,—,29.2,32.1,27.1,18.3,37.8
Changi,2002,8,7,0,—,—,—,29,32.5,26.7,14.5,32
Changi,2002,8,8,0,—,—,—,28,31.9,24.5,7.6,33.1
Changi,2002,8,9,0.6,—,—,—,27.1,32,24.4,5.2,30.6
Changi,2002,8,10,0,—,—,—,28.2,31.7,24.9,8.5,30.2
Changi,2002,8,11,17.8,—,—,—,29.4,32.8,26.6,14.1,32.8
Changi,2002,8,12,4.6,—,—,—,27.1,29.7,22.4,6.6,41.8
Changi,2002,8,13,0,—,—,—,28,32.1,22.8,5.2,44.6
Changi,2002,8,14,0,—,—,—,29.4,32.6,27.1,13.4,34.2
Changi,2002,8,15,0,—,—,—,29,32.1,26.5,15.6,40.3
Changi,2002,8,16,0,—,—,—,28.9,33,25.7,11.9,32.4
Changi,2002,8,17,0,—,—,—,29.1,32.5,26.3,15,34.2
Changi,2002,8,18,0,—,—,—,29,32.1,26.3,15,34.6
Changi,2002,8,19,12,—,—,—,28.9,32,25.1,15.5,34.2
Changi,2002,8,20,0,—,—,—,28.7,30.7,27.4,16.4,36
Changi,2002,8,21,0,—,—,—,29.2,32.1,26.9,17.8,36
Changi,2002,8,22,0.3,—,—,—,29.2,33.1,27.5,13.4,34.6
Changi,2002,8,23,0.5,—,—,—,28.9,33.2,26,12.1,45
Changi,2002,8,24,0.3,—,—,—,28,32.4,25.4,7.6,27
Changi,2002,8,25,0,—,—,—,28.6,33.3,25.4,7.5,40.3
Changi,2002,8,26,0,—,—,—,28.6,31.7,26.6,6.3,37.8
Changi,2002,8,27,0,—,—,—,28.3,31.9,25.2,7.8,31.3
Changi,2002,8,28,1.8,—,—,—,27.7,31.1,23.2,7.8,41.8
Changi,2002,8,29,1.8,—,—,—,28.3,33.6,25.2,8.6,34.2
Changi,2002,8,30,2.8,—,—,—,27.5,29.5,25.6,6.6,23.8
Changi,2002,8,31,3.9,—,—,—,26.6,28.9,24.1,5.5,34.2
