Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1984,6,1,44.1,—,—,—,26.4,30.4,23.2,9.2,47.9
Changi,1984,6,2,0.3,—,—,—,26.2,30.2,22.5,6.3,39.6
Changi,1984,6,3,3.2,—,—,—,26.5,30.7,24.1,5.1,36.4
Changi,1984,6,4,1.9,—,—,—,26.7,30.6,25,4,27.4
Changi,1984,6,5,121.1,—,—,—,25.5,27.1,23.7,6.3,39.6
Changi,1984,6,6,0,—,—,—,28,31.4,25.8,13.9,37.4
Changi,1984,6,7,1.2,—,—,—,27.1,31.9,25,4.5,33.8
Changi,1984,6,8,0,—,—,—,27.5,31.2,24.7,6.4,24.8
Changi,1984,6,9,43,—,—,—,27.8,31.5,25.2,6.5,28.8
Changi,1984,6,10,2,—,—,—,27.4,30.5,25.1,10,40
Changi,1984,6,11,0,—,—,—,27.6,31.4,23,7.7,44.3
Changi,1984,6,12,0,—,—,—,28.5,32.6,25.8,7.5,34.9
Changi,1984,6,13,0,—,—,—,28.7,32.7,25.8,7.3,33.5
Changi,1984,6,14,0,—,—,—,28,32.3,25.2,7.5,33.1
Changi,1984,6,15,0,—,—,—,27.6,31.4,24.6,7.8,34.6
Changi,1984,6,16,1.7,—,—,—,28.2,31.5,25.6,7.7,43.2
Changi,1984,6,17,16.4,—,—,—,26,28.5,21.4,5.2,60.1
Changi,1984,6,18,0,—,—,—,27.8,31.5,24.3,9.5,29.9
Changi,1984,6,19,0,—,—,—,27.9,30.7,26.3,8,34.6
Changi,1984,6,20,0,—,—,—,27.9,32,25,10.6,35.6
Changi,1984,6,21,0,—,—,—,28.8,32,26.5,17.3,42.1
Changi,1984,6,22,0,—,—,—,28.9,32.2,27,11.3,37.1
Changi,1984,6,23,0,—,—,—,27.8,31.4,24,10,35.3
Changi,1984,6,24,5.6,—,—,—,25.9,28.9,23,3.4,48.2
Changi,1984,6,25,0,—,—,—,28.2,32.2,25.1,8.4,32.4
Changi,1984,6,26,0.3,—,—,—,27.9,30.5,26.2,9.9,42.5
Changi,1984,6,27,3.9,—,—,—,27.3,29.7,25,6,38.5
Changi,1984,6,28,0,—,—,—,27.9,31.5,26,11.4,31.3
Changi,1984,6,29,10.3,—,—,—,27.7,31,25.4,8.7,41.8
Changi,1984,6,30,0,—,—,—,27.7,32,22.2,9.6,63.4
