Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2011,7,1,0,—,—,—,28.6,31.5,25,12.8,30.2
Changi,2011,7,2,0,—,—,—,29,32.2,26.4,11.8,37.1
Changi,2011,7,3,0,—,—,—,28.3,31.5,25.4,8.8,34.9
Changi,2011,7,4,0,—,—,—,28.6,31.9,25.1,9.2,30.2
Changi,2011,7,5,0,—,—,—,29.2,31.9,27,14.8,36.4
Changi,2011,7,6,0,—,—,—,29.3,32.6,26.9,14.4,31
Changi,2011,7,7,0,—,—,—,29.3,32.3,26.8,14,34.2
Changi,2011,7,8,0,—,—,—,29.3,32.4,26.9,12.8,32.8
Changi,2011,7,9,0,—,—,—,29.2,32.3,26.6,10.6,39.6
Changi,2011,7,10,0,—,—,—,28.6,32.5,26.1,7.6,37.1
Changi,2011,7,11,7.6,—,—,—,29,32.4,26.1,8.5,32
Changi,2011,7,12,0,—,—,—,27.9,31.6,22.6,10,38.2
Changi,2011,7,13,0,—,—,—,29.3,32.4,26.3,10,29.2
Changi,2011,7,14,0.4,—,—,—,29.2,32.2,26.6,12.5,39.6
Changi,2011,7,15,10.6,—,—,—,27.2,31.6,23,9.4,41
Changi,2011,7,16,0,—,—,—,26.8,29.6,23.1,10.5,34.2
Changi,2011,7,17,0,—,—,—,28.4,32,25.3,10.5,34.6
Changi,2011,7,18,0,—,—,—,28.8,31.9,25.5,10.6,32.8
Changi,2011,7,19,0,—,—,—,29.2,32.4,26.4,12.3,36
Changi,2011,7,20,0,—,—,—,29.3,32.7,26.2,10.7,31
Changi,2011,7,21,1.4,—,—,—,29.1,32.9,26.2,9,27.4
Changi,2011,7,22,15.6,—,—,—,27.4,30.9,23.2,7.4,49.3
Changi,2011,7,23,0,—,—,—,28.3,31.9,24.4,8.4,28.4
Changi,2011,7,24,30,—,—,—,29.2,32.4,26,10.9,32.8
Changi,2011,7,25,0,—,—,—,27.8,30.7,22.2,8,30.2
Changi,2011,7,26,0,—,—,—,28.6,31.3,26.4,11.7,33.5
Changi,2011,7,27,11,—,—,—,28.2,32,22.9,9.8,40
Changi,2011,7,28,0,—,—,—,28.9,31.6,26.5,12.7,35.3
Changi,2011,7,29,0,—,—,—,29.1,32.2,26.9,15.2,40
Changi,2011,7,30,0,—,—,—,29.1,31.4,26.4,17.7,39.2
Changi,2011,7,31,0,—,—,—,29,31.7,26.9,17.3,37.1
