Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1983,5,1,0,—,—,—,27.5,32.2,24.3,4.8,47.5
Changi,1983,5,2,0,—,—,—,28.3,33.1,25,4.2,32.8
Changi,1983,5,3,0,—,—,—,28.9,33.5,26,5.4,28.8
Changi,1983,5,4,0,—,—,—,28.1,33.4,25,5.6,43.2
Changi,1983,5,5,0,—,—,—,28.2,32.7,25.3,3.5,42.5
Changi,1983,5,6,0,—,—,—,27.9,32.8,25.2,5.9,35.3
Changi,1983,5,7,0.8,—,—,—,28.2,33.1,24.9,2.9,28.1
Changi,1983,5,8,0,—,—,—,27.3,34,23.5,4.1,54
Changi,1983,5,9,0,—,—,—,26.2,32.2,23.7,3.3,36
Changi,1983,5,10,0,—,—,—,28.1,32.9,24.7,5.4,33.5
Changi,1983,5,11,0,—,—,—,27.6,31.3,24.3,3.1,40.7
Changi,1983,5,12,0,—,—,—,28.7,32.4,25.2,7.3,37.1
Changi,1983,5,13,0,—,—,—,28.9,32.4,26.8,4.9,36
Changi,1983,5,14,0,—,—,—,28.6,32.6,25.6,3.6,30.2
Changi,1983,5,15,0,—,—,—,28.4,33.1,26.7,3.8,43.6
Changi,1983,5,16,0,—,—,—,28.9,33.2,25.4,5.9,39.6
Changi,1983,5,17,0,—,—,—,29,32,24.6,8.6,40.3
Changi,1983,5,18,0,—,—,—,28.4,32.3,26.1,7.4,37.4
Changi,1983,5,19,0,—,—,—,28.8,32.7,26.2,3.8,27
Changi,1983,5,20,0,—,—,—,29.3,33.4,26.2,4.3,34.6
Changi,1983,5,21,0,—,—,—,28.8,33.3,26.1,4.4,33.8
Changi,1983,5,22,0,—,—,—,28.2,32.5,25.4,3.4,40
Changi,1983,5,23,0,—,—,—,28.2,32.6,24.3,4.6,44.3
Changi,1983,5,24,0,—,—,—,29,32.5,26.8,4.4,28.8
Changi,1983,5,25,7.8,—,—,—,28.4,31.3,26.5,3,23.8
Changi,1983,5,26,21.3,—,—,—,26.9,29.1,24,3.5,55.8
Changi,1983,5,27,3.7,—,—,—,27.7,30.8,23.5,7,39.2
Changi,1983,5,28,0,—,—,—,28.1,32.6,23.7,5.6,36
Changi,1983,5,29,0,—,—,—,27.2,30.3,24.5,3.4,36.7
Changi,1983,5,30,0,—,—,—,29,32.6,26,7.1,28.1
Changi,1983,5,31,0,—,—,—,29.4,33.4,27,7.3,31.7
