Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2011,3,1,0,—,—,—,27.2,30.6,24.5,8.1,24.1
Changi,2011,3,2,0,—,—,—,27.6,32.4,24.6,9.6,31.3
Changi,2011,3,3,9.4,—,—,—,27.2,32,25.1,10.4,30.2
Changi,2011,3,4,17.2,—,—,—,26.3,32.2,24.1,7.4,29.2
Changi,2011,3,5,0.8,—,—,—,27.6,32.6,24.3,9.7,31.7
Changi,2011,3,6,14.4,—,—,—,26.9,32.2,23.2,6.4,35.6
Changi,2011,3,7,54,—,—,—,27.3,32.4,24.3,6,38.5
Changi,2011,3,8,0.2,—,—,—,26.3,30.7,21.9,5.7,38.9
Changi,2011,3,9,1.6,—,—,—,26.4,31,23.8,8,34.2
Changi,2011,3,10,30.2,—,—,—,25.4,29.9,23.5,7,31.3
Changi,2011,3,11,0.2,—,—,—,24.9,26.8,22.5,6.4,21.6
Changi,2011,3,12,24,—,—,—,26.7,30.7,23.8,9.5,29.5
Changi,2011,3,13,0,—,—,—,27.4,31.2,23.3,10.9,36.7
Changi,2011,3,14,15.6,—,—,—,25.8,30.6,23.1,6.1,28.4
Changi,2011,3,15,0.8,—,—,—,26.5,31.1,24.6,5.8,37.4
Changi,2011,3,16,8.2,—,—,—,27.2,31.1,24.3,7.3,30.6
Changi,2011,3,17,4.2,—,—,—,25.6,27.2,22.2,5.1,29.9
Changi,2011,3,18,0,—,—,—,27.3,31,24.2,9.2,32.4
Changi,2011,3,19,31.2,—,—,—,26.4,31.6,23.6,6.3,29.2
Changi,2011,3,20,1,—,—,—,26.7,30.2,23.7,5,31.3
Changi,2011,3,21,10.8,—,—,—,27.3,31,24.6,5.5,22
Changi,2011,3,22,0.4,—,—,—,25.7,27.4,22.9,6,29.9
Changi,2011,3,23,0,—,—,—,27.4,33,24.3,5.7,31.7
Changi,2011,3,24,0,—,—,—,28.2,33.1,24.6,7.3,28.4
Changi,2011,3,25,0,—,—,—,29.2,33.5,24.2,6.6,32.8
Changi,2011,3,26,0,—,—,—,28.8,33.1,24.6,7.8,39.6
Changi,2011,3,27,21.8,—,—,—,27.4,32.9,24,7,33.5
Changi,2011,3,28,3.6,—,—,—,27,31,24.1,9.7,30.2
Changi,2011,3,29,0.2,—,—,—,27.9,31.7,24.5,6.1,22.3
Changi,2011,3,30,0,—,—,—,28.8,33.5,24.7,8.5,38.9
Changi,2011,3,31,6.8,—,—,—,28,33,25.1,6.7,35.3
