Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1987,2,1,0,—,—,—,26.1,30.5,23.9,12.6,51.5
Changi,1987,2,2,1.7,—,—,—,26,30.5,23,12.2,50.4
Changi,1987,2,3,0,—,—,—,25.9,30.3,23.2,9.3,43.6
Changi,1987,2,4,5.9,—,—,—,25.2,29.5,23.4,9.3,49.3
Changi,1987,2,5,0.7,—,—,—,25.4,29.5,22.8,12,51.5
Changi,1987,2,6,0,—,—,—,26.6,30.7,23.9,12.2,41.8
Changi,1987,2,7,0,—,—,—,26.8,31.2,24.2,13.8,45
Changi,1987,2,8,0,—,—,—,26.5,31,23.4,12.6,45.7
Changi,1987,2,9,0,—,—,—,26.7,31.1,24,14.5,45.7
Changi,1987,2,10,0,—,—,—,26.8,31.9,23.5,12.4,38.2
Changi,1987,2,11,0,—,—,—,26.6,31.5,23.5,11.2,36.4
Changi,1987,2,12,0,—,—,—,26.6,31.7,23.9,12.9,34.6
Changi,1987,2,13,0,—,—,—,26.5,32.2,23.2,13.3,39.6
Changi,1987,2,14,0,—,—,—,26.6,31.9,23.1,12.1,45
Changi,1987,2,15,0,—,—,—,26.9,32.5,23.3,12.2,40.3
Changi,1987,2,16,0,—,—,—,26.8,33,23.6,12.5,41.4
Changi,1987,2,17,0,—,—,—,26.8,31.7,23.7,12.8,39.6
Changi,1987,2,18,0,—,—,—,26.8,32.7,23.2,11.9,40.7
Changi,1987,2,19,0,—,—,—,27.1,33,24.3,15.3,44.3
Changi,1987,2,20,0,—,—,—,27.4,32.3,24.7,14.2,42.5
Changi,1987,2,21,0,—,—,—,27.4,32.4,24.4,18.4,46.1
Changi,1987,2,22,0,—,—,—,27.1,32.3,23.7,17.2,42.8
Changi,1987,2,23,34.8,—,—,—,26.6,32.1,23.6,12.7,40.3
Changi,1987,2,24,0,—,—,—,27,31.7,24.7,14.4,42.5
Changi,1987,2,25,17.5,—,—,—,26.2,31.7,23.6,10.4,42.8
Changi,1987,2,26,25.4,—,—,—,26.6,31.7,24,12.3,40
Changi,1987,2,27,0.9,—,—,—,26.9,32.5,24,10,41
Changi,1987,2,28,0,—,—,—,27.4,32.3,24.3,13.8,51.1
