Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1987,5,1,0,—,—,—,27.6,31.5,25.4,5.7,51.8
Changi,1987,5,2,1.8,—,—,—,28.3,33.2,25.8,5.9,42.8
Changi,1987,5,3,0,—,—,—,27,30.3,24.9,4.5,37.1
Changi,1987,5,4,49.9,—,—,—,26.2,31.8,23.4,2.8,37.8
Changi,1987,5,5,81.4,—,—,—,27.2,30.2,24.9,7,27
Changi,1987,5,6,8.5,—,—,—,27.4,31.1,22.4,6.7,49.7
Changi,1987,5,7,2.6,—,—,—,28.6,32.7,26.2,9.9,43.9
Changi,1987,5,8,29.5,—,—,—,27.2,31.4,24,3.3,50.4
Changi,1987,5,9,16.9,—,—,—,26.9,31.4,24,4.4,33.5
Changi,1987,5,10,1,—,—,—,27.1,32,24.2,3.3,38.5
Changi,1987,5,11,0,—,—,—,27.7,31.9,25.1,4.9,30.6
Changi,1987,5,12,1.4,—,—,—,26.8,29.7,25.4,2.6,26.3
Changi,1987,5,13,0.1,—,—,—,26.8,31.9,25,3.3,36.7
Changi,1987,5,14,34,—,—,—,27.2,32,24.4,4.3,21.6
Changi,1987,5,15,0,—,—,—,27.2,32.4,23.2,5,40.3
Changi,1987,5,16,0,—,—,—,27.9,32.4,25.4,3,27.7
Changi,1987,5,17,1.1,—,—,—,27.3,31.9,24.2,5.8,50.8
Changi,1987,5,18,0,—,—,—,28.2,32,25.4,8.9,33.5
Changi,1987,5,19,6.3,—,—,—,27.6,32.2,25.2,6.1,60.5
Changi,1987,5,20,0,—,—,—,27.6,30.6,25.7,4.7,29.9
Changi,1987,5,21,0,—,—,—,28.1,31.5,25.3,7,31.7
Changi,1987,5,22,0,—,—,—,28.6,32.2,26,8.9,44.6
Changi,1987,5,23,0,—,—,—,29.2,31.8,27.7,9.3,37.8
Changi,1987,5,24,0,—,—,—,28.7,32.6,26.8,7.2,31
Changi,1987,5,25,6.5,—,—,—,27.1,31,25.2,5.1,47.5
Changi,1987,5,26,23.1,—,—,—,26.2,30.9,24.2,3.4,34.9
Changi,1987,5,27,0.3,—,—,—,28,31.9,24.8,5.1,28.4
Changi,1987,5,28,5.6,—,—,—,27.4,30.5,25.4,4.7,28.1
Changi,1987,5,29,0,—,—,—,27.7,31.3,24.5,8.7,40.3
Changi,1987,5,30,0,—,—,—,28.5,32.2,26,9.1,29.2
Changi,1987,5,31,0,—,—,—,29,32.8,26.3,7.4,29.5
