Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2005,10,1,0.4,—,—,—,27.8,32.1,25.3,2.7,23.4
Changi,2005,10,2,0.9,—,—,—,27.2,31.2,24.8,4.7,52.2
Changi,2005,10,3,41.7,—,—,—,27.5,31.5,23.9,4.1,34.2
Changi,2005,10,4,49.3,—,—,—,27.6,31.3,23.6,5,37.8
Changi,2005,10,5,0,—,—,—,26.8,30.3,23.2,2.4,36
Changi,2005,10,6,14.5,—,—,—,28.7,32.6,25,5.3,32.4
Changi,2005,10,7,3.1,—,—,—,27.9,31.7,23.7,7.1,46.8
Changi,2005,10,8,0,—,—,—,27.9,30.2,26.5,3.9,28.8
Changi,2005,10,9,0.9,—,—,—,28.1,31.4,25.3,5.4,39.6
Changi,2005,10,10,0,—,—,—,29.1,32.2,26.4,6.4,25.2
Changi,2005,10,11,0,—,—,—,29,32.5,27.1,9.5,28.8
Changi,2005,10,12,0,—,—,—,29.2,32.2,27.6,7.9,29.2
Changi,2005,10,13,0.6,—,—,—,27.8,30.1,24.6,4.2,25.2
Changi,2005,10,14,2.7,—,—,—,27.7,32,25.6,3.3,27
Changi,2005,10,15,0,—,—,—,28.2,32.2,24.2,3.9,24.1
Changi,2005,10,16,76.2,—,—,—,26,30.4,23.4,2.6,29.9
Changi,2005,10,17,0.2,—,—,—,26,29.5,23.3,0.7,9.4
Changi,2005,10,18,10.1,—,—,—,27,32,24.3,2.7,25.2
Changi,2005,10,19,16.7,—,—,—,26.4,31.2,23.6,4.9,28.4
Changi,2005,10,20,0,—,—,—,26.6,28.5,24.4,5.1,25.2
Changi,2005,10,21,2.1,—,—,—,28.3,32.1,25.5,3.2,18
Changi,2005,10,22,14.5,—,—,—,27.8,31.5,24.5,3.3,23
Changi,2005,10,23,0,—,—,—,26.9,30.6,24.1,5.7,34.6
Changi,2005,10,24,1.3,—,—,—,27.9,32,25.3,4,18
Changi,2005,10,25,33,—,—,—,26.7,32.4,23.9,3.9,55.8
Changi,2005,10,26,0.9,—,—,—,26.1,29,24,4,28.8
Changi,2005,10,27,45.3,—,—,—,26.8,30.8,23,5.2,36
Changi,2005,10,28,0.1,—,—,—,26.9,31.4,23.3,3.8,23.8
Changi,2005,10,29,0,—,—,—,27.9,31.8,24.7,3.8,27
Changi,2005,10,30,0,—,—,—,28.9,33,25.5,6.3,30.6
Changi,2005,10,31,0,—,—,—,28.4,31.6,25,4.1,33.5
