Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1988,6,1,18.7,—,—,—,28,31.2,25.9,4.8,38.2
Changi,1988,6,2,16.8,—,—,—,26.4,29.3,22.7,4.5,54
Changi,1988,6,3,0,—,—,—,28.4,32.4,25,4,21.6
Changi,1988,6,4,69.4,—,—,—,27.7,32.5,24.7,2.2,37.8
Changi,1988,6,5,1.7,—,—,—,28.1,31.7,22.9,5.4,32
Changi,1988,6,6,0,—,—,—,27.7,31,23.5,6.2,35.6
Changi,1988,6,7,0,—,—,—,29.1,32.3,26.6,5.5,23
Changi,1988,6,8,0,—,—,—,29.2,32.5,26.4,8.9,33.1
Changi,1988,6,9,0,—,—,—,29.2,33.6,26.3,4.1,21.6
Changi,1988,6,10,0.4,—,—,—,28.5,32.8,25.9,5.3,28.4
Changi,1988,6,11,4.9,—,—,—,27.2,31.7,24.3,5.4,35.6
Changi,1988,6,12,0,—,—,—,27.6,31.4,23.3,7.6,60.1
Changi,1988,6,13,0,—,—,—,29.1,32.9,26.6,9.1,32.8
Changi,1988,6,14,0,—,—,—,28.5,32.7,24.4,5.5,30.6
Changi,1988,6,15,0,—,—,—,29.7,33.2,27.4,11.4,34.2
Changi,1988,6,16,2,—,—,—,26.9,32.2,23.5,6.6,59.4
Changi,1988,6,17,0,—,—,—,26.9,31,23.9,4.6,44.6
Changi,1988,6,18,19,—,—,—,27.8,31.5,25.1,5.1,33.5
Changi,1988,6,19,0,—,—,—,28.5,32.2,26,9.6,37.8
Changi,1988,6,20,0,—,—,—,29.4,32.8,27.6,10.2,33.5
Changi,1988,6,21,12.7,—,—,—,28.4,32.9,25.1,9.2,48.2
Changi,1988,6,22,0,—,—,—,26.8,30.2,24.2,3.7,39.2
Changi,1988,6,23,0,—,—,—,28,32.1,24.6,9.4,37.1
Changi,1988,6,24,0,—,—,—,28.2,30.9,26.9,7.7,58.3
Changi,1988,6,25,12.4,—,—,—,28.7,32.2,26.5,7.1,28.8
Changi,1988,6,26,0,—,—,—,28.7,31.6,25.9,6.8,37.1
Changi,1988,6,27,12,—,—,—,27.7,32.5,23.8,5,29.5
Changi,1988,6,28,0,—,—,—,27.4,31.8,24,7.5,34.6
Changi,1988,6,29,62.8,—,—,—,25.7,28.8,22.2,5,56.9
Changi,1988,6,30,19.4,—,—,—,25.8,29.5,22.9,4.2,41.4
