Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2019,8,1,0,0,0,0,29.4,32.9,26.7,12.2,34.2
Changi,2019,8,2,0,0,0,0,29.5,33,27.5,15.1,36
Changi,2019,8,3,0,0,0,0,29.3,33.1,27.7,14.8,34.6
Changi,2019,8,4,0,0,0,0,29.4,32.6,27.6,15.5,35.3
Changi,2019,8,5,0,0,0,0,29.3,32.5,27.6,15.5,36.4
Changi,2019,8,6,1.6,1.2,1.6,1.6,29.1,31.9,27.6,15.8,38.2
Changi,2019,8,7,2.4,2,2.2,2.4,28.7,31.9,27.2,16.2,36.4
Changi,2019,8,8,0,0,0,0,29.2,32.2,27.3,15.1,35.3
Changi,2019,8,9,0,0,0,0,29.2,32.1,27.4,15.5,40.7
Changi,2019,8,10,0,0,0,0,29.2,32.3,27.7,18.7,40.7
Changi,2019,8,11,0,0,0,0,29.6,32.9,27.7,15.5,36.4
Changi,2019,8,12,0,0,0,0,29.8,33.2,27.8,16.2,37.1
Changi,2019,8,13,0,0,0,0,29.5,32.8,27.5,16.9,40
Changi,2019,8,14,0,0,0,0,29.3,33.2,27.4,15.1,38.2
Changi,2019,8,15,0,0,0,0,29.5,33.3,27.2,13,35.3
Changi,2019,8,16,0,0,0,0,29.8,33.2,27.7,15.5,36.4
Changi,2019,8,17,0,0,0,0,29.5,33.3,27.6,18.7,42.5
Changi,2019,8,18,0,0,0,0,29.7,33.3,27.8,18.4,42.1
Changi,2019,8,19,0,0,0,0,29.5,33.4,27.2,13.3,32
Changi,2019,8,20,0,0,0,0,29.5,33.5,27.4,20.2,43.2
Changi,2019,8,21,0,0,0,0,29.4,32.6,27.7,16.2,44.3
Changi,2019,8,22,0,0,0,0,29.4,33.5,27.3,15.1,37.8
Changi,2019,8,23,0,0,0,0,29.6,34,27.6,18,44.3
Changi,2019,8,24,0,0,0,0,29.4,33.4,27.1,16.2,37.4
Changi,2019,8,25,3.8,3.2,3.8,3.8,28.5,32.9,25.7,10.4,33.1
Changi,2019,8,26,2.2,1.6,1.6,1.6,27.8,33.2,24.5,9.7,40.7
Changi,2019,8,27,1.2,0.6,0.6,1.2,27,30.8,25.7,6.8,28.4
Changi,2019,8,28,0.6,0.4,0.4,0.6,26.8,27.9,25.3,7.6,26.3
Changi,2019,8,29,0,0,0,0,28.9,32.5,26.4,15.1,36.4
Changi,2019,8,30,0,0,0,0,28.9,31.7,26.7,14.8,43.6
Changi,2019,8,31,0,0,0,0,29.1,33.2,27.1,17.3,37.8
