Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1996,8,1,0,—,—,—,29.3,33,25.9,12,29.5
Changi,1996,8,2,28.4,—,—,—,29.8,33,26.4,8.4,27
Changi,1996,8,3,0,—,—,—,27.8,32.2,22.9,8,57.6
Changi,1996,8,4,0,—,—,—,29,32.1,26,6.7,27.4
Changi,1996,8,5,0,—,—,—,29.8,32.8,27.4,14.9,34.2
Changi,1996,8,6,0,—,—,—,29.5,33,26,10.1,31
Changi,1996,8,7,7.4,—,—,—,28.9,32.2,26.5,9.9,32
Changi,1996,8,8,38.2,—,—,—,26.4,31.8,22.3,4.8,50.8
Changi,1996,8,9,0,—,—,—,27.9,31.5,24.6,5,25.9
Changi,1996,8,10,16.5,—,—,—,26.4,30.8,23.3,5.3,36
Changi,1996,8,11,18.4,—,—,—,25.8,30.3,22.9,4.6,30.2
Changi,1996,8,12,3.5,—,—,—,26.3,30.9,23.4,3.7,35.3
Changi,1996,8,13,0,—,—,—,28.1,32.3,25,7.5,27.7
Changi,1996,8,14,0.8,—,—,—,27.9,32.5,24.8,5.7,36
Changi,1996,8,15,6.6,—,—,—,28.4,31.8,25.1,6.5,28.1
Changi,1996,8,16,0.7,—,—,—,26.5,27.7,23.6,5.6,20.9
Changi,1996,8,17,0,—,—,—,26.4,30.6,24.5,2.3,28.4
Changi,1996,8,18,20,—,—,—,26.3,29.7,24.2,4.3,29.2
Changi,1996,8,19,1,—,—,—,26.3,30.8,23.1,6.6,29.2
Changi,1996,8,20,0,—,—,—,27.8,32.3,24.7,8.1,25.9
Changi,1996,8,21,2.5,—,—,—,26.6,30.6,23.9,6.7,40.7
Changi,1996,8,22,0,—,—,—,27.9,33.1,24.7,6,29.2
Changi,1996,8,23,12.4,—,—,—,28.2,32.8,23.9,5.4,44.6
Changi,1996,8,24,0,—,—,—,27.5,31.5,25.3,4,40
Changi,1996,8,25,0,—,—,—,27.5,32.7,24.1,5.7,30.2
Changi,1996,8,26,64.6,—,—,—,26,31.4,23.2,5.2,41.8
Changi,1996,8,27,3.6,—,—,—,27.3,31.7,23.2,5,31
Changi,1996,8,28,15.3,—,—,—,26.5,30.2,23.7,3.4,19.8
Changi,1996,8,29,2.6,—,—,—,25.3,28.3,23.5,3.3,24.5
Changi,1996,8,30,0,—,—,—,27.5,32,24.1,3.9,27.4
Changi,1996,8,31,15.9,—,—,—,26.1,29.1,22.3,4.5,46.1
