Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1995,12,1,7.6,—,—,—,27.8,32.5,24.8,4.4,40.7
Changi,1995,12,2,3.9,—,—,—,26.8,30.1,23,6.5,52.2
Changi,1995,12,3,43,—,—,—,27.3,31.4,23.5,10.2,43.9
Changi,1995,12,4,19,—,—,—,24.7,25.9,23,10.5,37.8
Changi,1995,12,5,1.1,—,—,—,24.7,26.7,23,7.2,25.6
Changi,1995,12,6,0,—,—,—,25.2,27.7,23.3,8.2,35.6
Changi,1995,12,7,0,—,—,—,26.6,30.5,23.5,9.3,40.3
Changi,1995,12,8,0,—,—,—,26.9,30,24.8,7.5,30.6
Changi,1995,12,9,7.1,—,—,—,26.2,29.1,24.2,4.7,33.8
Changi,1995,12,10,0,—,—,—,27.1,30.5,24.4,10.2,34.2
Changi,1995,12,11,0,—,—,—,27.5,31.6,24.2,8.3,29.2
Changi,1995,12,12,49.9,—,—,—,26.8,31.5,24.2,9,36.7
Changi,1995,12,13,0,—,—,—,27.4,31.7,24.2,6.7,29.5
Changi,1995,12,14,27.2,—,—,—,26.9,31.7,24.6,5.5,25.6
Changi,1995,12,15,5.8,—,—,—,26.2,29.4,22.5,5.2,31.3
Changi,1995,12,16,0,—,—,—,27.3,30.3,24.7,5,24.1
Changi,1995,12,17,0,—,—,—,27.9,32,24.5,7.3,32
Changi,1995,12,18,0,—,—,—,27.6,31.9,24.4,6.8,29.5
Changi,1995,12,19,14.1,—,—,—,26.2,30.3,24.5,3.7,29.5
Changi,1995,12,20,10,—,—,—,26.5,30.7,24,3.5,34.2
Changi,1995,12,21,27,—,—,—,26,30.1,23.9,4,37.8
Changi,1995,12,22,11.2,—,—,—,25.2,27.3,23.8,4,23.4
Changi,1995,12,23,0.5,—,—,—,24.9,28,22.9,5.5,32
Changi,1995,12,24,8.8,—,—,—,25,27.2,23.7,5.3,33.8
Changi,1995,12,25,8.2,—,—,—,25.8,28.8,23.4,6.1,37.8
Changi,1995,12,26,0.2,—,—,—,25.9,28.9,23.6,3.9,24.5
Changi,1995,12,27,1,—,—,—,25.4,26.8,23.8,4.5,26.6
Changi,1995,12,28,55.6,—,—,—,25,26.2,23.7,3.7,32
Changi,1995,12,29,1.3,—,—,—,25.6,28.3,23.3,8.5,37.8
Changi,1995,12,30,0,—,—,—,26.2,28.6,24.8,14.8,37.8
Changi,1995,12,31,0,—,—,—,26.3,29.7,23.2,12.6,40.7
