Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2000,12,1,0,—,—,—,27.9,32,24.4,5.1,31.3
Changi,2000,12,2,0.3,—,—,—,27.8,32,25.1,7.8,27.7
Changi,2000,12,3,0.6,—,—,—,27.7,32.3,24.8,9.8,40
Changi,2000,12,4,19.8,—,—,—,27.3,31.4,23.9,6.3,38.2
Changi,2000,12,5,23.8,—,—,—,26.4,31.8,23.6,8.3,30.2
Changi,2000,12,6,22,—,—,—,26.6,31.5,23.8,6.2,31
Changi,2000,12,7,13.3,—,—,—,27,32.6,24,3.3,24.1
Changi,2000,12,8,0,—,—,—,27.8,31.6,24.9,3,19.8
Changi,2000,12,9,0,—,—,—,28.3,31.8,24.9,3.5,27.4
Changi,2000,12,10,0,—,—,—,28.1,32.2,25.5,6.9,29.5
Changi,2000,12,11,22.2,—,—,—,26.5,31.9,24.1,2.5,37.8
Changi,2000,12,12,0,—,—,—,27.3,31,24.6,8.1,35.3
Changi,2000,12,13,0,—,—,—,27.8,30.9,25.6,3,18.7
Changi,2000,12,14,12.5,—,—,—,27.2,32.2,24.6,4.1,31.3
Changi,2000,12,15,45.8,—,—,—,25.8,29.7,23.3,6.1,45.4
Changi,2000,12,16,3.1,—,—,—,25.9,30.7,24,2.4,36
Changi,2000,12,17,0.2,—,—,—,26.5,29.2,24.9,2.9,19.8
Changi,2000,12,18,12,—,—,—,26.7,31.8,24.4,4.1,27
Changi,2000,12,19,0,—,—,—,26.7,30.6,24.5,3.2,23.8
Changi,2000,12,20,0,—,—,—,26.9,31.3,24.6,4.2,27
Changi,2000,12,21,13.4,—,—,—,26.8,30.6,24.8,4.5,29.2
Changi,2000,12,22,9,—,—,—,25.5,29.4,23,7,26.3
Changi,2000,12,23,13.6,—,—,—,25.1,27.6,23.4,4.7,27
Changi,2000,12,24,0.1,—,—,—,26.1,28.4,24.7,4.2,28.8
Changi,2000,12,25,0,—,—,—,27.2,30.6,24.6,8.1,30.6
Changi,2000,12,26,0,—,—,—,27.5,31.2,25,6,28.8
Changi,2000,12,27,0,—,—,—,27.6,31.4,24.6,6.7,27.7
Changi,2000,12,28,7.5,—,—,—,27.6,31.8,24.7,4.4,25.2
Changi,2000,12,29,16.3,—,—,—,26.6,29.3,23.3,3,30.2
Changi,2000,12,30,0.5,—,—,—,27.7,31.8,23.7,6.3,36
Changi,2000,12,31,0,—,—,—,26.7,30.3,23.9,5.1,40
