Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1989,4,1,0,—,—,—,26.3,31.1,23.9,5.3,34.9
Changi,1989,4,2,13.9,—,—,—,26.3,31.3,24.1,6.1,32
Changi,1989,4,3,0,—,—,—,26.5,31.4,24.4,4.1,35.3
Changi,1989,4,4,0,—,—,—,26.8,31.8,24.1,6.6,44.3
Changi,1989,4,5,0,—,—,—,26.8,31.1,24.1,3.6,30.2
Changi,1989,4,6,0,—,—,—,27.1,31.1,24.9,4.6,27.7
Changi,1989,4,7,3.4,—,—,—,26.3,32.1,24.4,2.4,34.6
Changi,1989,4,8,19.4,—,—,—,26.5,33.1,23.4,5.1,50.8
Changi,1989,4,9,0,—,—,—,27,31.2,24.1,2.2,24.1
Changi,1989,4,10,2.6,—,—,—,27.3,32.2,24,7.2,49
Changi,1989,4,11,12.2,—,—,—,26.2,30.4,24.2,4.7,29.9
Changi,1989,4,12,17.1,—,—,—,26.8,31.4,23.4,4.7,37.4
Changi,1989,4,13,2.6,—,—,—,25.6,28.1,21.9,1.8,50.4
Changi,1989,4,14,0,—,—,—,27.9,32.7,24.4,8,41
Changi,1989,4,15,6.1,—,—,—,27.8,30.9,23.9,8.7,34.2
Changi,1989,4,16,4.2,—,—,—,25.9,28.5,23.1,2.8,55.8
Changi,1989,4,17,0,—,—,—,27.6,32.2,23.7,6.4,28.8
Changi,1989,4,18,5.9,—,—,—,26.6,31.4,23.6,5.2,51.8
Changi,1989,4,19,0,—,—,—,27.3,31.6,23.6,4.8,27.4
Changi,1989,4,20,0,—,—,—,28.7,34,25.3,5.4,30.2
Changi,1989,4,21,0,—,—,—,29.3,34.5,25.4,6.8,38.9
Changi,1989,4,22,0,—,—,—,28.7,34,26.1,7.4,43.2
Changi,1989,4,23,5,—,—,—,27.9,33.3,24.8,5.2,41.4
Changi,1989,4,24,39,—,—,—,26.7,32.4,23.5,5,50.4
Changi,1989,4,25,12.4,—,—,—,26.3,31.5,24.3,3.7,41
Changi,1989,4,26,21.5,—,—,—,26.7,33.2,23.7,4.7,42.1
Changi,1989,4,27,0,—,—,—,27.9,33.3,24.1,5.2,31.3
Changi,1989,4,28,15.9,—,—,—,27.1,31.7,23.9,4.5,31
Changi,1989,4,29,11.6,—,—,—,26.9,31.6,24.5,3.1,49
Changi,1989,4,30,11.9,—,—,—,26.3,30.9,22.4,2.5,55.8
