Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1997,5,1,0.3,—,—,—,28.9,33,25.9,5,32.8
Changi,1997,5,2,0,—,—,—,29.8,34.4,26,6.3,32.4
Changi,1997,5,3,0,—,—,—,29.8,33.9,26.2,5.4,27.7
Changi,1997,5,4,0,—,—,—,28.9,33.1,26.1,5.2,29.5
Changi,1997,5,5,0,—,—,—,29,35.1,26,4.3,26.3
Changi,1997,5,6,0,—,—,—,29.3,33.9,26.7,4.9,28.4
Changi,1997,5,7,0,—,—,—,29.5,34,26.1,9.7,29.2
Changi,1997,5,8,0,—,—,—,30.4,34.7,27.6,8.6,31.3
Changi,1997,5,9,0,—,—,—,30.1,34.7,26.6,6.2,27.7
Changi,1997,5,10,1.8,—,—,—,30,34.5,26.5,4.8,32.8
Changi,1997,5,11,1.1,—,—,—,28.3,33.3,25.3,2.7,23
Changi,1997,5,12,0,—,—,—,29.5,34.5,25.8,5.8,26.6
Changi,1997,5,13,0,—,—,—,29.8,34.1,27.4,8.7,34.9
Changi,1997,5,14,0.9,—,—,—,29.1,32.6,26.4,9.8,36
Changi,1997,5,15,35.6,—,—,—,27.1,29.4,24.7,3.8,29.2
Changi,1997,5,16,1.9,—,—,—,28.4,32.9,25.4,4.7,36
Changi,1997,5,17,0,—,—,—,28.3,30.9,25.9,4.6,32.4
Changi,1997,5,18,0,—,—,—,29,33.6,26.4,6.5,32
Changi,1997,5,19,0,—,—,—,29.6,33.7,27.5,11.4,38.5
Changi,1997,5,20,0,—,—,—,29.2,34,26.4,4,23.8
Changi,1997,5,21,0,—,—,—,29.6,33.6,26.3,4.9,20.2
Changi,1997,5,22,0,—,—,—,29.6,33.8,26.5,5.5,27.7
Changi,1997,5,23,0,—,—,—,29.8,33.5,26.6,6.7,28.8
Changi,1997,5,24,0,—,—,—,29.6,33.4,26.9,5.4,41
Changi,1997,5,25,0,—,—,—,29.4,33.3,26.6,6,25.9
Changi,1997,5,26,0,—,—,—,30.1,34.6,26.5,8,30.6
Changi,1997,5,27,0,—,—,—,29.1,34.2,26.4,5.3,32.4
Changi,1997,5,28,0,—,—,—,29.2,33.7,25.7,6.3,30.2
Changi,1997,5,29,0,—,—,—,29.5,33.5,25,9,34.9
Changi,1997,5,30,0,—,—,—,29.7,32.8,27.6,9,36
Changi,1997,5,31,0,—,—,—,30.4,34.5,27,8,27.7
