Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1990,10,1,0,—,—,—,26.8,30.7,24.3,4.9,33.5
Changi,1990,10,2,0.6,—,—,—,27.1,30.3,24.1,6.9,37.4
Changi,1990,10,3,1,—,—,—,26.1,29.3,23.8,5.3,33.8
Changi,1990,10,4,0,—,—,—,27.7,31.4,25,4.9,27.7
Changi,1990,10,5,0,—,—,—,27.6,31.9,25.1,4.8,32.8
Changi,1990,10,6,0,—,—,—,27.9,32.4,24.3,7.5,32.8
Changi,1990,10,7,0,—,—,—,28.5,32.8,25.8,7.4,37.4
Changi,1990,10,8,0,—,—,—,28.6,32.8,25.5,7.3,36.4
Changi,1990,10,9,0,—,—,—,28.9,33.1,26.8,13.1,39.2
Changi,1990,10,10,0,—,—,—,27.8,32.7,26.1,4,36
Changi,1990,10,11,0,—,—,—,28.2,33.3,25.3,4.6,44.3
Changi,1990,10,12,0,—,—,—,27.5,31.7,24.6,3,30.6
Changi,1990,10,13,0,—,—,—,28.6,32.7,24.9,4.8,31.7
Changi,1990,10,14,1.8,—,—,—,27.5,32.9,25.1,4,41
Changi,1990,10,15,0,—,—,—,27.4,31.8,25,4.9,28.1
Changi,1990,10,16,0.3,—,—,—,27.5,32.8,25,3.2,37.8
Changi,1990,10,17,0.1,—,—,—,28.3,32.9,25.4,6,47.2
Changi,1990,10,18,0,—,—,—,28.4,33.2,25.5,6.1,33.5
Changi,1990,10,19,0.1,—,—,—,27.8,32.7,25.4,4.9,32.8
Changi,1990,10,20,2.2,—,—,—,27.2,31,25.6,2.6,38.2
Changi,1990,10,21,12.1,—,—,—,26.1,30.2,24.1,1.6,23
Changi,1990,10,22,10,—,—,—,26.8,32.3,24.2,2.4,24.5
Changi,1990,10,23,1,—,—,—,27.3,31.5,25.2,3.2,38.5
Changi,1990,10,24,0,—,—,—,27.8,31.7,24.7,3.6,34.9
Changi,1990,10,25,3.8,—,—,—,27,32.3,23.7,2.2,46.1
Changi,1990,10,26,3,—,—,—,26.4,28.9,25,1.6,14
Changi,1990,10,27,0,—,—,—,26.7,30.1,25,3,34.2
Changi,1990,10,28,0,—,—,—,27.4,32,24.7,2.8,40.3
Changi,1990,10,29,0,—,—,—,27,32.2,24.8,3.3,32.4
Changi,1990,10,30,20.2,—,—,—,27.1,32.5,24.4,2.8,25.9
Changi,1990,10,31,0.2,—,—,—,26.6,30.9,24.7,2.1,21.2
