Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1991,12,1,0,—,—,—,27,31,24.1,9.9,38.9
Changi,1991,12,2,0,—,—,—,26.6,30.4,24,8.8,42.5
Changi,1991,12,3,15.8,—,—,—,25.6,28.4,23.6,8.8,34.2
Changi,1991,12,4,13.8,—,—,—,24.1,25.5,22.9,7,37.4
Changi,1991,12,5,40.2,—,—,—,25.7,29.8,23.5,10.8,40
Changi,1991,12,6,26,—,—,—,23.4,24.9,22.2,7.2,36.4
Changi,1991,12,7,68.8,—,—,—,23.1,23.6,22.3,7.5,42.5
Changi,1991,12,8,19.2,—,—,—,24.3,27.3,22.6,9,32.8
Changi,1991,12,9,1.4,—,—,—,24.7,27.1,22.4,6.1,36.4
Changi,1991,12,10,7.8,—,—,—,24.9,27.6,22.8,10.8,39.6
Changi,1991,12,11,0.1,—,—,—,25.9,31.1,22.5,9.2,34.9
Changi,1991,12,12,0,—,—,—,26.6,30.8,23.8,6.9,43.2
Changi,1991,12,13,0,—,—,—,27.1,31.2,24.4,13.1,42.8
Changi,1991,12,14,16,—,—,—,26.6,31.5,24.3,11.3,45
Changi,1991,12,15,39.2,—,—,—,25.5,27.9,23.5,11.5,54.4
Changi,1991,12,16,0,—,—,—,26.5,30.6,23.6,10.3,40.7
Changi,1991,12,17,8.6,—,—,—,26.5,30.6,24,9.1,28.1
Changi,1991,12,18,0,—,—,—,26.7,31,24.7,10.2,37.8
Changi,1991,12,19,14.6,—,—,—,25.5,27.8,24,11,44.3
Changi,1991,12,20,5,—,—,—,25.3,26.6,24.2,10,47.2
Changi,1991,12,21,12.8,—,—,—,25.4,27.7,23.3,12.2,53.6
Changi,1991,12,22,79.4,—,—,—,24.5,26.8,23.4,5.7,34.9
Changi,1991,12,23,48.3,—,—,—,24.5,28.4,23,6.4,36.4
Changi,1991,12,24,0,—,—,—,26.1,30.5,22.7,4,26.3
Changi,1991,12,25,0,—,—,—,26.5,30.4,24.3,9.2,42.1
Changi,1991,12,26,61.9,—,—,—,25.9,30.6,23.5,4.5,39.6
Changi,1991,12,27,0,—,—,—,26.6,31.2,23.2,7.1,33.8
Changi,1991,12,28,11.5,—,—,—,25.7,31.2,23.2,2.7,38.5
Changi,1991,12,29,1.9,—,—,—,25.5,28.9,23.4,4.8,35.3
Changi,1991,12,30,0,—,—,—,26.1,30.5,23.8,2.6,36
Changi,1991,12,31,0,—,—,—,25.9,29.9,23.4,4.3,40
