Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1993,12,1,6,—,—,—,25.4,30.5,23.5,2.6,35.3
Changi,1993,12,2,7.9,—,—,—,26.5,31.2,23.4,3.3,27
Changi,1993,12,3,2.8,—,—,—,27.2,30.8,24.4,4.1,32.4
Changi,1993,12,4,22.2,—,—,—,27.6,31,24.4,3.5,27.7
Changi,1993,12,5,3.5,—,—,—,26.1,31.1,24.6,2.5,25.6
Changi,1993,12,6,25.8,—,—,—,27.3,31.2,24,4,28.8
Changi,1993,12,7,0,—,—,—,27,30.8,23.7,6.6,41
Changi,1993,12,8,67.6,—,—,—,26.1,31.5,23.3,5,41.4
Changi,1993,12,9,0.1,—,—,—,26,30.6,22.4,3.1,48.6
Changi,1993,12,10,8.7,—,—,—,27.2,31.7,24.9,5,29.5
Changi,1993,12,11,0,—,—,—,26.6,29.7,23,3.3,40.3
Changi,1993,12,12,30.8,—,—,—,26.9,32.9,23,5.5,47.2
Changi,1993,12,13,27.8,—,—,—,26.2,32.3,23.9,3.4,40.7
Changi,1993,12,14,1.4,—,—,—,27.4,31.3,24.8,5.5,32
Changi,1993,12,15,3.1,—,—,—,27.7,32.8,24.5,4.3,28.4
Changi,1993,12,16,0,—,—,—,27.8,32,23.6,7.2,30.6
Changi,1993,12,17,0,—,—,—,27.1,31.2,24.5,6.3,31.3
Changi,1993,12,18,2.3,—,—,—,26.1,28.6,24.5,5.2,27.4
Changi,1993,12,19,0,—,—,—,26,28.6,24.1,4.2,20.5
Changi,1993,12,20,5.5,—,—,—,27.2,32.4,23.9,4.1,45.7
Changi,1993,12,21,0,—,—,—,26.8,30.7,24.5,5.6,28.1
Changi,1993,12,22,1.5,—,—,—,26,28.4,24.3,5,25.2
Changi,1993,12,23,54.7,—,—,—,24.6,25.5,23.4,5.6,34.2
Changi,1993,12,24,30.5,—,—,—,24.5,26.4,23.5,7.4,43.9
Changi,1993,12,25,4.6,—,—,—,25.7,29,23.5,5.3,41.8
Changi,1993,12,26,0,—,—,—,26.7,30.2,23.9,10.8,39.2
Changi,1993,12,27,0,—,—,—,26.2,29.5,23.8,9.5,36.7
Changi,1993,12,28,0,—,—,—,26.8,29.9,24.9,10.8,38.2
Changi,1993,12,29,1.7,—,—,—,26.3,29.2,24.5,7.5,31.7
Changi,1993,12,30,0,—,—,—,26.4,29.4,24.4,7.2,32.4
Changi,1993,12,31,0,—,—,—,26.6,29.9,24.2,9,30.6
