Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2008,11,1,2,—,—,—,26.5,30.1,22.5,2.9,32.8
Changi,2008,11,2,12.4,—,—,—,27.1,32.4,24.6,3.2,28.8
Changi,2008,11,3,1.9,—,—,—,26.7,30.4,25,1.8,25.2
Changi,2008,11,4,0,—,—,—,27.8,32,24.3,3.2,28.8
Changi,2008,11,5,0,—,—,—,27.6,32.2,25.5,3.3,32.4
Changi,2008,11,6,0,—,—,—,27.7,32.2,24.7,3.4,25.6
Changi,2008,11,7,0,—,—,—,28.4,32.9,24.5,3.1,24.8
Changi,2008,11,8,35.5,—,—,—,29,32.1,26.2,4.2,23.4
Changi,2008,11,9,0.3,—,—,—,27.7,32,23.5,2.6,36.4
Changi,2008,11,10,40.9,—,—,—,26.3,29,23.9,3.3,34.2
Changi,2008,11,11,3.4,—,—,—,26.2,29.2,23.7,2.2,21.6
Changi,2008,11,12,27.2,—,—,—,26.8,32.1,23.1,5.8,36
Changi,2008,11,13,2,—,—,—,25.9,27.4,24.5,2.8,25.6
Changi,2008,11,14,0,—,—,—,27.6,30.7,24.7,5.2,23.4
Changi,2008,11,15,0,—,—,—,26.9,29.9,25.3,3.6,27.4
Changi,2008,11,16,0,—,—,—,27.5,31.8,25.1,3.1,25.2
Changi,2008,11,17,0,—,—,—,26.8,30.3,25.2,2.2,27
Changi,2008,11,18,0,—,—,—,27,30.4,25.2,3.5,23.4
Changi,2008,11,19,32.8,—,—,—,26.8,31,24.2,3.7,31.7
Changi,2008,11,20,0,—,—,—,27.1,30.9,24.5,3.7,23.4
Changi,2008,11,21,0.1,—,—,—,27.4,30.9,24.2,4.7,20.9
Changi,2008,11,22,63.3,—,—,—,27.2,32.3,23,4.2,41.4
Changi,2008,11,23,54.8,—,—,—,27.3,33,25,4.2,39.6
Changi,2008,11,24,0,—,—,—,27.5,30.6,24.3,4.2,36.7
Changi,2008,11,25,5.2,—,—,—,28,32.5,25.5,5,32.4
Changi,2008,11,26,31.5,—,—,—,27,31.9,24.9,4.4,27
Changi,2008,11,27,0,—,—,—,26.6,29.8,23.5,3,50.4
Changi,2008,11,28,0,—,—,—,27.8,32.1,25.2,3.1,27.4
Changi,2008,11,29,9,—,—,—,28.3,32.2,25,1.7,22.3
Changi,2008,11,30,2,—,—,—,27.8,30.7,25.1,1.5,27.4
