Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1994,12,1,99.2,—,—,—,25.4,30.5,22.9,2.8,27.4
Changi,1994,12,2,29,—,—,—,26.6,31.6,24,4.1,32.8
Changi,1994,12,3,3.7,—,—,—,26.3,30.2,22,4,43.6
Changi,1994,12,4,36.2,—,—,—,26.4,30.9,23.7,4.3,28.4
Changi,1994,12,5,11.2,—,—,—,26.4,31,23.7,3.8,38.2
Changi,1994,12,6,2,—,—,—,27.1,31,23.5,6.4,32.8
Changi,1994,12,7,0,—,—,—,27.8,32.6,24,7.9,35.3
Changi,1994,12,8,33,—,—,—,27.3,31.8,24.5,3.8,23.4
Changi,1994,12,9,0,—,—,—,27.1,31.2,24.5,3,27.4
Changi,1994,12,10,0,—,—,—,27.6,30.8,25,6.1,23.4
Changi,1994,12,11,0.5,—,—,—,27.1,30.7,24.9,4.7,34.2
Changi,1994,12,12,6,—,—,—,26.6,30.5,25,2.8,25.6
Changi,1994,12,13,0,—,—,—,27.7,31.8,24.9,10.5,34.6
Changi,1994,12,14,0,—,—,—,27.4,31.4,24.3,8.2,32.4
Changi,1994,12,15,0,—,—,—,27.4,31.3,24,8.6,28.8
Changi,1994,12,16,15,—,—,—,27.1,31.1,24.8,7.2,31.7
Changi,1994,12,17,20.9,—,—,—,24.7,25.8,23.8,5.1,22
Changi,1994,12,18,26,—,—,—,25.7,29.4,23.7,5,37.1
Changi,1994,12,19,133.8,—,—,—,24.3,25.3,23.1,5,36.7
Changi,1994,12,20,6,—,—,—,26,29.5,23,7.3,37.8
Changi,1994,12,21,0,—,—,—,27,30.8,23.8,7.9,37.4
Changi,1994,12,22,0.8,—,—,—,26.7,30.3,24.4,8.7,44.3
Changi,1994,12,23,0.4,—,—,—,26.9,31,24.2,7,35.3
Changi,1994,12,24,0,—,—,—,27.2,31.4,23.4,6.8,34.2
Changi,1994,12,25,0,—,—,—,27.3,31.9,24,8.5,36
Changi,1994,12,26,0,—,—,—,27.5,31.8,25.1,7.4,30.6
Changi,1994,12,27,0,—,—,—,28,32,24.7,8.9,28.8
Changi,1994,12,28,1.2,—,—,—,28.2,31.8,25.7,11.6,36
Changi,1994,12,29,0,—,—,—,27.7,31.1,24.9,10,37.4
Changi,1994,12,30,0.5,—,—,—,27.2,31.5,24.6,9.6,46.1
Changi,1994,12,31,0,—,—,—,27.5,31.3,24.4,10.6,38.9
