Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1995,5,1,6.2,—,—,—,26.9,29.4,25.4,1.8,14.8
Changi,1995,5,2,1.2,—,—,—,27.8,31.9,25.3,3.1,40
Changi,1995,5,3,2.8,—,—,—,27,32,24.8,2.9,32.4
Changi,1995,5,4,0,—,—,—,27.1,29.1,24.4,2.8,25.9
Changi,1995,5,5,18,—,—,—,27.6,31.7,25,3.9,35.3
Changi,1995,5,6,0,—,—,—,28.2,31.5,25.1,5.4,25.6
Changi,1995,5,7,3.4,—,—,—,28.3,31.7,26,4.2,26.6
Changi,1995,5,8,0,—,—,—,28.2,33.3,25.8,2.6,30.6
Changi,1995,5,9,0,—,—,—,27.8,33,25.5,3.1,30.2
Changi,1995,5,10,32.8,—,—,—,27.8,32.3,25.3,7.2,32.4
Changi,1995,5,11,0.1,—,—,—,26.7,29.2,23.2,3.2,53.3
Changi,1995,5,12,0,—,—,—,29.4,32.7,26.4,6.1,23.4
Changi,1995,5,13,0,—,—,—,29.7,33.2,26.1,9.1,44.6
Changi,1995,5,14,0,—,—,—,29.7,33,26.6,11.4,30.6
Changi,1995,5,15,0,—,—,—,30,33.2,27.6,12.3,29.9
Changi,1995,5,16,12,—,—,—,29.6,33.3,24.3,7.5,31.3
Changi,1995,5,17,0,—,—,—,29.1,34,25,6.3,30.2
Changi,1995,5,18,0,—,—,—,29.3,33.2,27,6.2,31
Changi,1995,5,19,0,—,—,—,28.8,33.9,25.9,3.8,28.8
Changi,1995,5,20,0.2,—,—,—,28,32.4,25.3,3.3,28.1
Changi,1995,5,21,0,—,—,—,27.7,32.2,24.9,3.8,36.4
Changi,1995,5,22,0,—,—,—,29.1,32.8,26.5,5.1,32.4
Changi,1995,5,23,6.6,—,—,—,28.7,32.1,25.8,7.5,40.7
Changi,1995,5,24,0,—,—,—,28.6,31.7,25.2,5,28.4
Changi,1995,5,25,0.7,—,—,—,28.8,32.5,25.4,7.1,36
Changi,1995,5,26,0,—,—,—,29.8,33,27,10.5,27.4
Changi,1995,5,27,0,—,—,—,29.2,32.5,26.8,11.7,34.2
Changi,1995,5,28,0.4,—,—,—,28.3,32,26.2,4.2,36
Changi,1995,5,29,0,—,—,—,28.3,32.7,25.3,4.2,23.4
Changi,1995,5,30,0,—,—,—,29,32.8,25.8,5.7,25.6
Changi,1995,5,31,0,—,—,—,29.4,32.9,26.2,5.3,23
