Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1985,3,1,23.8,—,—,—,25.9,31.3,23.1,4.6,33.8
Changi,1985,3,2,0,—,—,—,26.2,29.4,23.4,5.4,48.2
Changi,1985,3,3,0,—,—,—,26.7,29.7,23.7,3.8,35.3
Changi,1985,3,4,0,—,—,—,26.9,32.8,23.5,8.5,39.2
Changi,1985,3,5,6.6,—,—,—,26.6,30.1,23.5,7.1,42.8
Changi,1985,3,6,2,—,—,—,25.6,29.3,23.3,6.9,45.7
Changi,1985,3,7,0.4,—,—,—,25.5,28.4,23.6,5.4,37.4
Changi,1985,3,8,2.9,—,—,—,25.9,31.7,24,3.5,31.3
Changi,1985,3,9,0,—,—,—,26.7,31.5,23.6,7.4,41.4
Changi,1985,3,10,0,—,—,—,28,32.7,24.7,13.3,36.4
Changi,1985,3,11,0,—,—,—,27.9,32.5,25.5,17.8,50
Changi,1985,3,12,0,—,—,—,27.9,32.5,24.6,14.6,45.4
Changi,1985,3,13,0.6,—,—,—,27.4,32.1,24.5,9.7,37.1
Changi,1985,3,14,0,—,—,—,27.3,33.3,24.3,11.2,36.7
Changi,1985,3,15,0,—,—,—,27.4,32.2,24.7,12.3,40
Changi,1985,3,16,14.8,—,—,—,26.2,29.8,24.2,8.8,51.5
Changi,1985,3,17,5.9,—,—,—,27.3,30.7,23.2,13.4,47.2
Changi,1985,3,18,0,—,—,—,26.8,31.7,23.2,11.1,48.6
Changi,1985,3,19,0,—,—,—,27.7,32.7,24.5,11.2,37.1
Changi,1985,3,20,0,—,—,—,28,32.6,24.8,11.2,41.4
Changi,1985,3,21,0.4,—,—,—,27.2,32.6,24.8,4.2,34.2
Changi,1985,3,22,0,—,—,—,28,33.3,24.8,10.5,46.1
Changi,1985,3,23,0,—,—,—,28.3,33.2,24.8,14.4,44.3
Changi,1985,3,24,2.2,—,—,—,27.3,32.6,24.7,4.4,37.1
Changi,1985,3,25,0.4,—,—,—,26.6,31.6,24.3,5.7,36
Changi,1985,3,26,0,—,—,—,27.6,32.7,24.3,6,27.4
Changi,1985,3,27,0,—,—,—,27.8,32.3,24.5,9.3,46.4
Changi,1985,3,28,0,—,—,—,27.5,31.2,24.8,4.2,24.1
Changi,1985,3,29,0,—,—,—,28,33.2,25,6.5,37.8
Changi,1985,3,30,11.2,—,—,—,26.8,32.6,23.6,4.5,45.4
Changi,1985,3,31,16.8,—,—,—,26.8,32.5,23.7,5,38.5
