Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2007,6,1,32.8,—,—,—,27.6,32.6,23.6,2.4,34.6
Changi,2007,6,2,0,—,—,—,28.5,32.7,25.8,5.5,30.2
Changi,2007,6,3,0,—,—,—,29,32.9,25.9,6.7,36
Changi,2007,6,4,6.1,—,—,—,28.2,31.8,26.4,0.8,19.8
Changi,2007,6,5,0.6,—,—,—,28.5,32.3,25.8,2.7,19.4
Changi,2007,6,6,0,—,—,—,28,31.2,25.6,4.4,27
Changi,2007,6,7,0,—,—,—,29.1,32.8,26.1,3.6,28.8
Changi,2007,6,8,0,—,—,—,28.5,32.4,26,2,28.8
Changi,2007,6,9,0,—,—,—,29.1,32.9,25.4,3.8,21.6
Changi,2007,6,10,1.9,—,—,—,29.2,33.7,26.4,3.9,27
Changi,2007,6,11,0,—,—,—,28.4,31.1,25.9,5.6,22.7
Changi,2007,6,12,38,—,—,—,27.7,30.7,23.6,4.2,37.8
Changi,2007,6,13,0,—,—,—,29,32.7,27.1,8.6,33.8
Changi,2007,6,14,0,—,—,—,28.7,32.3,26.5,5,34.6
Changi,2007,6,15,0.9,—,—,—,28.1,31.6,25.2,4.6,30.6
Changi,2007,6,16,7.1,—,—,—,26.8,30.1,23.6,2.2,23.4
Changi,2007,6,17,0,—,—,—,26.7,28.6,24.9,6.6,34.2
Changi,2007,6,18,0,—,—,—,28.5,31.7,26.2,2.5,13
Changi,2007,6,19,0.4,—,—,—,28.1,34,24.6,4.7,33.5
Changi,2007,6,20,0,—,—,—,27.8,31.6,24.7,5.6,27
Changi,2007,6,21,1.1,—,—,—,28.6,32.8,25.6,2.3,27
Changi,2007,6,22,0,—,—,—,28.4,31.8,25.4,2.5,19.8
Changi,2007,6,23,0,—,—,—,28.9,32.8,26.2,6.7,30.6
Changi,2007,6,24,0.7,—,—,—,29.5,32.7,27.3,9.5,37.8
Changi,2007,6,25,37.8,—,—,—,28.7,30.7,25.7,6.7,41.4
Changi,2007,6,26,0,—,—,—,27.3,31.9,21.8,9.3,54
Changi,2007,6,27,0,—,—,—,29.7,33.2,26.8,3.9,20.2
Changi,2007,6,28,0,—,—,—,29.5,32.5,26.8,5.3,25.2
Changi,2007,6,29,11.6,—,—,—,27.8,32.2,23.4,4.8,38.2
Changi,2007,6,30,0,—,—,—,28.6,32.8,24.5,7.3,25.6
