Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2003,8,1,0,—,—,—,29,32.6,26.5,10.3,28.8
Changi,2003,8,2,21.1,—,—,—,28.7,32.4,24.2,11.1,33.1
Changi,2003,8,3,0,—,—,—,28.3,32.2,26,6.5,28.8
Changi,2003,8,4,0,—,—,—,29,32.1,26.7,10.4,26.6
Changi,2003,8,5,64.4,—,—,—,27,30.1,23,9.2,32.4
Changi,2003,8,6,9.2,—,—,—,27.7,31.4,24.6,9.2,28.8
Changi,2003,8,7,0,—,—,—,28.9,32,27.1,10.8,28.8
Changi,2003,8,8,0,—,—,—,29.2,32.2,27.2,13.8,27.7
Changi,2003,8,9,1.3,—,—,—,28.9,31.6,26.4,10.6,29.5
Changi,2003,8,10,0,—,—,—,29.4,32.5,27.1,13.1,36
Changi,2003,8,11,0,—,—,—,29,32.7,26.7,8.8,39.6
Changi,2003,8,12,0.1,—,—,—,29.2,33.1,26.9,10.1,34.9
Changi,2003,8,13,33.4,—,—,—,27.6,32.2,24.6,8.8,32
Changi,2003,8,14,1.3,—,—,—,26.7,30.1,24.9,5,28.8
Changi,2003,8,15,0,—,—,—,27.3,31.1,24.9,4.6,26.3
Changi,2003,8,16,18.7,—,—,—,27.6,29.9,23.8,7.5,38.9
Changi,2003,8,17,0,—,—,—,26.6,30.3,23.8,11,36
Changi,2003,8,18,0,—,—,—,28.9,32.2,26.2,6.5,27.4
Changi,2003,8,19,0,—,—,—,29.5,32.6,27.3,12.4,27.7
Changi,2003,8,20,0,—,—,—,29.6,33.1,26.7,10.1,30.6
Changi,2003,8,21,0,—,—,—,29.2,32.7,26.2,10,27.7
Changi,2003,8,22,0,—,—,—,29.6,33,27.5,16.2,34.2
Changi,2003,8,23,3.3,—,—,—,28.3,33,24.9,10.2,41.4
Changi,2003,8,24,0,—,—,—,28,31.6,25.2,5.5,24.8
Changi,2003,8,25,3.9,—,—,—,27.7,31.8,25.2,8.7,47.5
Changi,2003,8,26,11.5,—,—,—,27.8,32.6,24.9,7.5,38.9
Changi,2003,8,27,12.6,—,—,—,27.6,31.6,25.3,4.6,24.8
Changi,2003,8,28,0,—,—,—,26.5,29.5,23.5,7.6,26.6
Changi,2003,8,29,4.7,—,—,—,27.9,32.1,25.4,5.6,25.2
Changi,2003,8,30,8.1,—,—,—,27.8,30.7,24.2,5.1,39.6
Changi,2003,8,31,0,—,—,—,26.6,30,23.3,5.4,44.3
