Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1985,2,1,18.7,—,—,—,25.7,30.3,22.5,15.2,59.4
Changi,1985,2,2,0,—,—,—,25.7,30.5,22.3,13.2,42.8
Changi,1985,2,3,0,—,—,—,26.9,32,24.2,11.8,42.8
Changi,1985,2,4,0,—,—,—,27,31,24.2,10.3,36.4
Changi,1985,2,5,0,—,—,—,27.3,31.9,24.2,10.9,33.5
Changi,1985,2,6,0,—,—,—,27.5,31.9,24.7,14.1,40.3
Changi,1985,2,7,0,—,—,—,27.3,31.5,24.3,7.3,28.4
Changi,1985,2,8,0,—,—,—,27.5,32.1,24,9.4,33.8
Changi,1985,2,9,1.5,—,—,—,27.2,32.3,24.6,5.4,36.7
Changi,1985,2,10,1.4,—,—,—,26.2,31.2,24.3,2.3,32.4
Changi,1985,2,11,0.7,—,—,—,26.8,32.4,24.5,4.7,39.6
Changi,1985,2,12,15,—,—,—,25.5,30.9,23.9,5.3,46.1
Changi,1985,2,13,4.9,—,—,—,26.1,33,23.4,7,45.4
Changi,1985,2,14,0,—,—,—,26.4,30.4,23.7,9.2,49.3
Changi,1985,2,15,0,—,—,—,27.6,32,24.8,10.4,30.6
Changi,1985,2,16,12.2,—,—,—,26.6,32.9,23.2,6.5,44.3
Changi,1985,2,17,11.2,—,—,—,26.6,31.4,22.2,7.4,54.4
Changi,1985,2,18,0,—,—,—,27.7,33,24.4,8.3,35.6
Changi,1985,2,19,0,—,—,—,27.8,33.1,24.9,11.4,32.8
Changi,1985,2,20,0,—,—,—,27.7,32.7,24.6,10.8,28.4
Changi,1985,2,21,0,—,—,—,28,33.1,25.6,11.2,38.5
Changi,1985,2,22,0,—,—,—,28.4,33,25.5,12,34.6
Changi,1985,2,23,4,—,—,—,26.9,33.3,22.4,8.7,64.4
Changi,1985,2,24,4,—,—,—,27.5,32,24.9,10.6,42.1
Changi,1985,2,25,0,—,—,—,27.9,32,25.1,8.6,27.4
Changi,1985,2,26,0,—,—,—,27.2,33.7,24.2,6.1,43.6
Changi,1985,2,27,0,—,—,—,27.5,33,24.5,6.2,36.4
Changi,1985,2,28,5.7,—,—,—,27.1,32,23.1,4.5,44.6
