Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1996,5,1,18.6,—,—,—,26.1,29.6,24.2,2.4,27
Changi,1996,5,2,0,—,—,—,27.9,32.3,24.7,4.3,31
Changi,1996,5,3,0,—,—,—,29.2,32.5,26.3,8.8,30.2
Changi,1996,5,4,10.9,—,—,—,28.1,31.6,22.9,5.7,45.4
Changi,1996,5,5,0,—,—,—,29.3,33.3,25.9,8.6,30.6
Changi,1996,5,6,13.3,—,—,—,27.9,33,23.5,7.5,42.5
Changi,1996,5,7,0,—,—,—,28.7,33,25,3.9,29.5
Changi,1996,5,8,1.2,—,—,—,28.1,32.5,26.1,5.9,36
Changi,1996,5,9,0,—,—,—,28.4,32.8,25.3,6.3,30.6
Changi,1996,5,10,14.2,—,—,—,27.7,31.6,24.7,5.2,37.4
Changi,1996,5,11,0,—,—,—,28.4,31.6,24.6,3.7,28.8
Changi,1996,5,12,0,—,—,—,28.4,31.2,25.5,6,32.4
Changi,1996,5,13,1.7,—,—,—,27.8,31.9,25.2,2.3,46.4
Changi,1996,5,14,1.4,—,—,—,28.7,31.8,25.4,3.1,21.6
Changi,1996,5,15,2.5,—,—,—,29,33,25.2,4.6,30.6
Changi,1996,5,16,0,—,—,—,28.9,32.4,23.5,5.4,34.9
Changi,1996,5,17,0,—,—,—,29.3,32.9,25.9,4.6,27
Changi,1996,5,18,0,—,—,—,29.7,33.3,26.5,5.7,28.4
Changi,1996,5,19,0,—,—,—,29.9,33,27,7.2,26.6
Changi,1996,5,20,1.6,—,—,—,29.2,33,26,5.5,41
Changi,1996,5,21,3.2,—,—,—,28.8,32.2,26.6,6.4,37.4
Changi,1996,5,22,5.7,—,—,—,27.2,31.8,24,5.1,43.2
Changi,1996,5,23,0,—,—,—,28.3,32.6,24.6,7.3,26.6
Changi,1996,5,24,1.6,—,—,—,28.4,32.5,26.3,4.6,30.6
Changi,1996,5,25,0,—,—,—,29,33.2,25.3,5.6,28.4
Changi,1996,5,26,0,—,—,—,29.1,32.2,26.7,5.3,36
Changi,1996,5,27,0,—,—,—,29,32.8,26.2,5.9,31.7
Changi,1996,5,28,14.7,—,—,—,27.5,31.8,23.6,4.3,36.7
Changi,1996,5,29,0.5,—,—,—,28,32.5,24.6,5.6,36
Changi,1996,5,30,16.4,—,—,—,29.6,33.2,26.6,9.6,32
Changi,1996,5,31,0,—,—,—,29,33.2,24.5,7.2,35.6
