Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2003,5,1,4.2,—,—,—,27.9,32,25.5,2.5,24.1
Changi,2003,5,2,2,—,—,—,28.4,31.6,26.1,4.1,25.2
Changi,2003,5,3,0.5,—,—,—,27.6,30,25.5,5.5,28.8
Changi,2003,5,4,0,—,—,—,29,31.9,27,5.5,16.9
Changi,2003,5,5,1.1,—,—,—,28.8,31.2,26.7,3.8,23.8
Changi,2003,5,6,0,—,—,—,29.1,33.7,26.3,4.5,25.2
Changi,2003,5,7,33,—,—,—,28.7,33.4,25.9,3.7,25.9
Changi,2003,5,8,0,—,—,—,28.9,32.5,26,6.3,29.2
Changi,2003,5,9,4.1,—,—,—,27.9,30.9,25.4,4.4,30.2
Changi,2003,5,10,0.5,—,—,—,27.4,30.2,26,2.9,14.4
Changi,2003,5,11,4.7,—,—,—,27.7,33,25.3,4.2,23.8
Changi,2003,5,12,0,—,—,—,28,30.8,25.1,4.5,16.9
Changi,2003,5,13,8.4,—,—,—,27.9,32.2,24.9,3.2,23.4
Changi,2003,5,14,0,—,—,—,27.5,31,24.2,3.1,21.6
Changi,2003,5,15,0,—,—,—,29.5,32.6,26.9,3.1,15.8
Changi,2003,5,16,0,—,—,—,30,32.8,27.9,3.4,19.8
Changi,2003,5,17,0,—,—,—,30.3,34.1,26.9,5.8,22
Changi,2003,5,18,0,—,—,—,29.6,33,26.3,4.3,21.6
Changi,2003,5,19,0,—,—,—,29.3,33.9,24.6,4,19.8
Changi,2003,5,20,0,—,—,—,30.2,34.2,26.9,7.9,20.5
Changi,2003,5,21,0,—,—,—,30.3,33.3,28.1,9.7,31.7
Changi,2003,5,22,0,—,—,—,30.3,33.4,28.2,11.9,30.6
Changi,2003,5,23,0,—,—,—,30.2,33.1,27.9,8.8,28.8
Changi,2003,5,24,0,—,—,—,30.6,33.9,28.1,9.2,28.8
Changi,2003,5,25,0,—,—,—,30.2,33.7,27.4,8.6,25.6
Changi,2003,5,26,0,—,—,—,30.4,34,27.5,7.6,23.4
Changi,2003,5,27,0.2,—,—,—,30.3,34.3,27.6,10.2,27
Changi,2003,5,28,0,—,—,—,30.4,34.1,28,10.3,28.8
Changi,2003,5,29,0,—,—,—,30.2,34.1,27.7,7.6,28.8
Changi,2003,5,30,23,—,—,—,30,33.3,27.9,10.4,27.7
Changi,2003,5,31,0.1,—,—,—,28.5,30.9,23.4,6.8,39.6
