Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2011,5,1,1.6,—,—,—,27.2,29.7,24.9,4.5,17.6
Changi,2011,5,2,1,—,—,—,26.1,27.2,24.2,5.6,33.5
Changi,2011,5,3,34.2,—,—,—,27.5,33.5,24.4,5.6,29.5
Changi,2011,5,4,17.8,—,—,—,27.2,32.3,23.7,5.7,28.8
Changi,2011,5,5,0,—,—,—,28.5,33.5,24.4,6.9,27
Changi,2011,5,6,0,—,—,—,29.4,34.5,25.4,7,24.1
Changi,2011,5,7,0,—,—,—,29.4,33.8,26.4,7,26.3
Changi,2011,5,8,0,—,—,—,30.1,35.3,26,6.3,29.5
Changi,2011,5,9,0,—,—,—,30.4,34,27.7,9.8,32
Changi,2011,5,10,6.6,—,—,—,29,32.3,23.4,7,41
Changi,2011,5,11,1.8,—,—,—,29.7,33.1,26.7,9.3,22.7
Changi,2011,5,12,4,—,—,—,27.9,31.1,24.9,7.9,40.3
Changi,2011,5,13,11.2,—,—,—,28.3,33.4,25,4.9,20.2
Changi,2011,5,14,1.6,—,—,—,27.5,31.2,23.4,5.4,36.7
Changi,2011,5,15,0,—,—,—,28.6,33,24.7,9.3,27.4
Changi,2011,5,16,0,—,—,—,28.4,32.5,26,6.4,32.8
Changi,2011,5,17,0,—,—,—,28.6,33.1,25.1,7.5,31.7
Changi,2011,5,18,0,—,—,—,28.5,33,25.4,7.1,38.5
Changi,2011,5,19,0,—,—,—,28.8,33,25.4,7.5,34.2
Changi,2011,5,20,2.2,—,—,—,28.4,33.1,26,4.9,44.3
Changi,2011,5,21,0.8,—,—,—,28.1,31.3,24.3,6,25.9
Changi,2011,5,22,0,—,—,—,28.9,32.6,26.2,7.9,30.6
Changi,2011,5,23,0,—,—,—,29.4,33.2,24.6,7.7,29.5
Changi,2011,5,24,4.6,—,—,—,29.4,33.5,24.9,8.5,27.4
Changi,2011,5,25,13.4,—,—,—,27.8,30.9,24.9,5.8,29.5
Changi,2011,5,26,0,—,—,—,28.9,32,26.1,5.8,23.4
Changi,2011,5,27,24.2,—,—,—,27.8,31.1,25.2,4.7,34.9
Changi,2011,5,28,0,—,—,—,28.6,32,25.8,4.9,25.2
Changi,2011,5,29,0,—,—,—,28.5,31.7,26.1,4.7,28.8
Changi,2011,5,30,0,—,—,—,29.3,32.4,26.5,9.8,32.4
Changi,2011,5,31,2,—,—,—,28.1,32.5,24.4,8.6,46.1
