Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1986,5,1,0,—,—,—,27.5,32.1,25,3.7,41.4
Changi,1986,5,2,1.5,—,—,—,27.2,31.4,25.8,1.7,17.3
Changi,1986,5,3,51.3,—,—,—,26.6,32.1,24,2.6,38.9
Changi,1986,5,4,19.2,—,—,—,27,31.8,24.4,3.8,29.9
Changi,1986,5,5,13.1,—,—,—,26.3,29,24.6,3.2,27.7
Changi,1986,5,6,0,—,—,—,28.2,31.1,25.5,9.6,27.4
Changi,1986,5,7,1.6,—,—,—,29.5,32,27.5,18.7,41.4
Changi,1986,5,8,0,—,—,—,28.8,31.8,25.5,11.8,56.2
Changi,1986,5,9,4.2,—,—,—,26.9,28.2,24.2,5.8,42.1
Changi,1986,5,10,0,—,—,—,27.4,30.5,24,11.3,49
Changi,1986,5,11,0,—,—,—,29.1,32.5,27,12.1,29.5
Changi,1986,5,12,0,—,—,—,29.1,32,26.5,10.1,28.4
Changi,1986,5,13,0,—,—,—,28.8,32.1,27,10.3,28.8
Changi,1986,5,14,0,—,—,—,29.1,33.2,25.9,9.2,29.5
Changi,1986,5,15,3.9,—,—,—,28.9,32.6,25.3,7.4,29.9
Changi,1986,5,16,2.8,—,—,—,27,29.2,25.5,5.9,52.6
Changi,1986,5,17,1.2,—,—,—,28.1,32.7,24.3,7.5,33.1
Changi,1986,5,18,0,—,—,—,27.8,31,23.5,6.6,35.3
Changi,1986,5,19,0,—,—,—,28.7,31.8,26.5,10.7,31
Changi,1986,5,20,0,—,—,—,29.3,33,26.6,13,35.3
Changi,1986,5,21,0,—,—,—,29.7,33.4,27.7,14.8,33.1
Changi,1986,5,22,0,—,—,—,29.7,33,27.8,15.5,35.6
Changi,1986,5,23,0,—,—,—,29,33.4,26.6,9.8,39.6
Changi,1986,5,24,0,—,—,—,28.9,32.4,26.2,10.4,38.2
Changi,1986,5,25,19.3,—,—,—,28.7,32.2,25.1,10.8,45.7
Changi,1986,5,26,0,—,—,—,27.3,31.2,22,7.8,43.9
Changi,1986,5,27,0,—,—,—,28.3,32,26.5,10.2,36.4
Changi,1986,5,28,4.1,—,—,—,28,32.3,25.1,8.3,46.8
Changi,1986,5,29,21.6,—,—,—,27.2,31.7,24.5,7.4,48.2
Changi,1986,5,30,1.3,—,—,—,27.4,31.4,23.1,8.5,34.2
Changi,1986,5,31,0,—,—,—,27.8,31.8,23.5,6.8,41
