Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1994,1,1,17.5,—,—,—,26.5,30.8,23.9,6.4,29.2
Changi,1994,1,2,0,—,—,—,27.1,30.8,24.4,8.3,40.3
Changi,1994,1,3,10.8,—,—,—,26.5,31.5,24,4.9,32
Changi,1994,1,4,0,—,—,—,26.3,29.6,24,7.9,33.8
Changi,1994,1,5,0,—,—,—,26.8,31.1,24,10.5,37.4
Changi,1994,1,6,0,—,—,—,27.6,31.2,25,14.5,45.4
Changi,1994,1,7,0,—,—,—,27.5,31.1,24.4,15.7,41
Changi,1994,1,8,0,—,—,—,26.9,31,23.4,11.1,40
Changi,1994,1,9,0,—,—,—,26.9,31.3,23.7,8.8,32
Changi,1994,1,10,0,—,—,—,27.6,32,24.6,9.7,35.6
Changi,1994,1,11,0,—,—,—,27.5,31.8,24.5,10.4,35.3
Changi,1994,1,12,0,—,—,—,27.8,31.7,25,11.8,37.1
Changi,1994,1,13,0,—,—,—,27.7,32,25.1,11.1,43.9
Changi,1994,1,14,0,—,—,—,27.5,31.6,24.4,11.1,41
Changi,1994,1,15,0,—,—,—,27.2,30.6,24.6,13.8,47.2
Changi,1994,1,16,0,—,—,—,27.3,31.7,23.8,13.1,44.6
Changi,1994,1,17,0,—,—,—,26.5,30.5,23.9,11.1,40.3
Changi,1994,1,18,0,—,—,—,26.9,31.7,23.1,12,40.3
Changi,1994,1,19,0,—,—,—,27.3,31.9,23.6,13.7,43.2
Changi,1994,1,20,0,—,—,—,27.5,32.4,23.9,14.1,45
Changi,1994,1,21,0,—,—,—,27.3,32.2,24.1,13.9,46.1
Changi,1994,1,22,3,—,—,—,25.6,29.3,23.6,9.7,38.9
Changi,1994,1,23,0,—,—,—,25.8,27.5,23.8,12.4,45.4
Changi,1994,1,24,0,—,—,—,26.5,30.8,23.9,9.3,43.2
Changi,1994,1,25,0,—,—,—,27.1,31.4,24.4,10.8,42.1
Changi,1994,1,26,0,—,—,—,27,31,24.6,11.2,36
Changi,1994,1,27,3.8,—,—,—,27.1,31.1,24.7,11.6,47.5
Changi,1994,1,28,3.3,—,—,—,26.6,30,24.4,11.1,39.6
Changi,1994,1,29,13.5,—,—,—,24.9,25.7,23.6,5.3,32.4
Changi,1994,1,30,0,—,—,—,27.1,31.7,23.9,12.3,42.8
Changi,1994,1,31,5,—,—,—,26.8,29.6,24.5,9.8,34.6
