Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1983,12,1,2.8,—,—,—,26.4,31,23.8,9.1,46.1
Changi,1983,12,2,1.7,—,—,—,24.3,27.2,21.9,4.9,36.4
Changi,1983,12,3,5,—,—,—,25.1,30.2,23.2,3.1,41
Changi,1983,12,4,8.2,—,—,—,25.2,30.3,23,3.2,31.7
Changi,1983,12,5,0,—,—,—,26,29.8,23,4.5,28.8
Changi,1983,12,6,0,—,—,—,25,27.7,23.7,4.4,32.4
Changi,1983,12,7,0,—,—,—,25.6,28.8,23.4,4.9,32.8
Changi,1983,12,8,19.8,—,—,—,24.9,28.7,23,5.4,46.8
Changi,1983,12,9,48.1,—,—,—,24.2,25.8,22.8,6.6,35.6
Changi,1983,12,10,21.1,—,—,—,24.2,25.9,23,3,34.2
Changi,1983,12,11,0.6,—,—,—,24.5,27,22.8,1.9,26.6
Changi,1983,12,12,0,—,—,—,25.5,29.5,22.8,3.4,49.3
Changi,1983,12,13,0,—,—,—,26,31.2,23.4,3.5,34.2
Changi,1983,12,14,0,—,—,—,26.6,31,23.2,5.5,24.8
Changi,1983,12,15,12.7,—,—,—,24.8,29.3,23,3.8,47.5
Changi,1983,12,16,0.1,—,—,—,26.3,31,23.5,7.7,36.7
Changi,1983,12,17,1.9,—,—,—,26.7,30.7,24.5,9.8,42.5
Changi,1983,12,18,23.5,—,—,—,25.8,29.3,23.3,7.2,42.8
Changi,1983,12,19,0.5,—,—,—,24.9,26.7,23.2,9.4,50.8
Changi,1983,12,20,0,—,—,—,27,31.2,24.4,10.3,36.4
Changi,1983,12,21,0,—,—,—,26.7,30.7,23.8,11.1,45.7
Changi,1983,12,22,0,—,—,—,26.8,30.6,24.6,14.1,42.8
Changi,1983,12,23,0,—,—,—,26.8,31.3,24,12,41.8
Changi,1983,12,24,12.2,—,—,—,25,29.8,23,9.5,37.8
Changi,1983,12,25,164.4,—,—,—,23.6,25.4,21.9,3.1,31.3
Changi,1983,12,26,42.2,—,—,—,23,23.8,22,9.2,35.3
Changi,1983,12,27,5.8,—,—,—,23.6,24.9,22.6,13.2,46.8
Changi,1983,12,28,0,—,—,—,25.2,27.6,23.5,6.4,45
Changi,1983,12,29,0,—,—,—,25.2,27.3,23.5,2.4,28.8
Changi,1983,12,30,0,—,—,—,26.4,31,24,7,31
Changi,1983,12,31,0,—,—,—,26.4,30.4,24.5,8.3,39.6
