Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2000,6,1,9.9,—,—,—,27.9,31.7,24.8,3.3,27
Changi,2000,6,2,0.6,—,—,—,27,29.7,25.5,2.6,18.4
Changi,2000,6,3,0,—,—,—,28.1,31.7,25.5,3.9,25.2
Changi,2000,6,4,2.8,—,—,—,29.1,33.3,25.9,5.9,28.8
Changi,2000,6,5,5.8,—,—,—,27.5,32.1,24.7,5,31.3
Changi,2000,6,6,6.1,—,—,—,26.3,27.6,23,3.1,27
Changi,2000,6,7,10.4,—,—,—,26,30.4,23.4,2.5,23.8
Changi,2000,6,8,0,—,—,—,27.4,30.8,24.4,3.9,29.5
Changi,2000,6,9,0,—,—,—,27,30,24.5,2.8,30.6
Changi,2000,6,10,0,—,—,—,28.6,32.1,24.7,3.4,19.8
Changi,2000,6,11,14.3,—,—,—,26.6,29.5,23.6,2.7,32
Changi,2000,6,12,0,—,—,—,27.9,30.7,25.4,3.1,30.6
Changi,2000,6,13,0,—,—,—,28.2,32.5,25.6,2.8,24.8
Changi,2000,6,14,0,—,—,—,28.5,32.9,24.8,4.7,28.1
Changi,2000,6,15,41.7,—,—,—,28.2,31.5,25.3,2.2,24.1
Changi,2000,6,16,0.5,—,—,—,26.9,29.2,22.7,5.6,32.4
Changi,2000,6,17,31.2,—,—,—,27.4,31.9,24.6,5.8,33.5
Changi,2000,6,18,3.7,—,—,—,27,30.5,22.5,4.4,51.5
Changi,2000,6,19,0,—,—,—,27.4,31.8,23.1,3,25.9
Changi,2000,6,20,3.8,—,—,—,27.4,32,24.8,2.6,31
Changi,2000,6,21,0,—,—,—,26.3,28.4,23.9,3.7,46.4
Changi,2000,6,22,0,—,—,—,28.1,32.7,24.5,4.7,24.5
Changi,2000,6,23,0.2,—,—,—,27.7,29.7,26.4,0.6,13
Changi,2000,6,24,0,—,—,—,28.1,31.1,25.6,5,25.6
Changi,2000,6,25,0.4,—,—,—,28.5,32,26.4,7.6,27.4
Changi,2000,6,26,0,—,—,—,28.7,31.6,26,8.2,28.8
Changi,2000,6,27,25.9,—,—,—,27.7,31.1,25.1,4,20.5
Changi,2000,6,28,0.2,—,—,—,27.8,31.3,23.6,4.5,35.3
Changi,2000,6,29,0,—,—,—,27.3,30.9,24.6,5.7,28.8
Changi,2000,6,30,0,—,—,—,28.2,32,25.3,6.8,27
