month,max_temperature
2003-05,34.3
2003-06,34.3
2003-07,32.8
2003-08,33.1
2003-09,32.9
2003-10,33
2003-11,33
2003-12,32.2
2004-01,32
2004-02,34
2004-03,33.7
2004-04,35.1
2004-05,34.3
2004-06,33.7
2004-07,32.9
2004-08,33.5
2004-09,33.1
2004-10,34.2
2004-11,32.5
2004-12,32.7
2005-01,32.4
2005-02,34.7
2005-03,35
2005-04,35.1
2005-05,35.4
2005-06,33.9
2005-07,33.9
2005-08,33.6
2005-09,33.1
2005-10,33
2005-11,33.6
2005-12,33.5
2006-01,32
2006-02,33.3
2006-03,34.6
2006-04,34.1
2006-05,33.8
2006-06,32.7
2006-07,33.1
2006-08,33.1
2006-09,32.8
2006-10,33.6
2006-11,33.2
2006-12,32.7
2007-01,32.7
2007-02,33.3
2007-03,33.5
2007-04,33.7
2007-05,33.4
2007-06,34
2007-07,33
2007-08,32.5
2007-09,32.6
2007-10,33.7
2007-11,33.5
2007-12,31.8
2008-01,33.5
2008-02,33.4
2008-03,32.7
2008-04,33.3
2008-05,34.1
2008-06,32.9
2008-07,32.7
2008-08,32.7
2008-09,32.9
2008-10,33.3
2008-11,33
2008-12,32.6
2009-01,32.6
2009-02,35
2009-03,33.2
2009-04,34.7
2009-05,33.6
2009-06,33.7
2009-07,33.1
2009-08,33.5
2009-09,33
2009-10,33.9
2009-11,34.1
2009-12,32.6
2010-01,32.3
2010-02,35.2
2010-03,35.5
2010-04,34.5
2010-05,35.2
2010-06,33.5
2010-07,33.4
2010-08,33.1
2010-09,33.2
2010-10,34.1
2010-11,33.1
2010-12,33.6
2011-01,32.4
2011-02,33.5
2011-03,33.5
2011-04,33.1
2011-05,35.3
2011-06,33.1
2011-07,32.9
2011-08,32.5
2011-09,32.4
2011-10,32.5
2011-11,32.5
2011-12,32.3
2012-01,32.5
2012-02,32.9
2012-03,33.2
2012-04,32.9
2012-05,33.7
2012-06,32.7
2012-07,32.1
2012-08,32.7
2012-09,32.7
2012-10,33.1
2012-11,32.8
2012-12,32.2
2013-01,35.2
2013-02,32.5
2013-03,33.8
2013-04,34.9
2013-05,33.9
2013-06,34.5
2013-07,33.5
2013-08,32.8
2013-09,32.9
2013-10,33.2
2013-11,32.9
